GeneID	GeneName	GeneDescription
AGAP007833		
AGAP007834		Tubulin gamma chain [Source:UniProtKB/TrEMBL;Acc:Q7Q3E4]
AGAP007835		
AGAP007836		sodium-coupled monocarboxylate transporter 2 [Source:VB Community Annotation]
AGAP007837		sodium-coupled monocarboxylate transporter 1 [Source:VB Community Annotation]
AGAP007838		sodium-coupled monocarboxylate transporter 2 [Source:VB Community Annotation]
AGAP007839		
AGAP007841		F-type H+-transporting ATPase subunit delta [Source:VB Community Annotation]
AGAP007844		aspartyl-tRNA synthetase [Source:VB Community Annotation]
AGAP007845		endonuclease G, mitochondrial [Source:VB Community Annotation]
AGAP007846		
AGAP007847		dual specificity tyrosine-phosphorylation-regulated kinase [Source:VB Community Annotation]
AGAP007848		
AGAP007849		laminin, alpha 1/2 [Source:VB Community Annotation]
AGAP007851		
AGAP007852		aconitate hydratase 1 / homoaconitase [Source:VB Community Annotation]
AGAP007853		zinc finger HIT domain-containing protein 1 [Source:VB Community Annotation]
AGAP007854		membrane dipeptidase [Source:VB Community Annotation]
AGAP007855		aurora kinase, other [Source:VB Community Annotation]
AGAP007856		Sugar transporter ERD6-like 10 [Source:VB Community Annotation]
AGAP007857		
AGAP007858		lysyl-tRNA synthetase, class II [Source:VB Community Annotation]
AGAP007859		Sugar transporter ERD6-like 6 [Source:VB Community Annotation]
AGAP007860		
AGAP007861		
AGAP007862		
AGAP007863		serine/threonine-protein kinase NIM1 [Source:VB Community Annotation]
AGAP007864		F-actin capping protein subunit beta [Source:VB Community Annotation]
AGAP007865		
AGAP007866	SPZ4	spaetzle-like cytokine 4 [Source:VB Community Annotation]
AGAP007867		
AGAP007868		2-hydroxyglutarate dehydrogenase [Source:VB Community Annotation]
AGAP007869		Post-GPI attachment to proteins factor 2 [Source:VB Community Annotation]
AGAP007870		ubiquitin conjugation factor E4 B [Source:VB Community Annotation]
AGAP007871		mitochondrial import receptor subunit TOM40 [Source:VB Community Annotation]
AGAP007872		Mps one binder kinase activator-like 3 [Source:VB Community Annotation]
AGAP007873	TOR	autophagy related TOR protein (Target of rapamycin) [Source:VB Community Annotation]
AGAP007874		CWC22 spliceosome-associated protein homolog [Source:VB Community Annotation]
AGAP007875		
AGAP007876		
AGAP007877		
AGAP007878		
AGAP007879		Steroid dehydrogenase [Source:VB Community Annotation]
AGAP007880		3-ketoacyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:A0A1S4GX81]
AGAP007881		Steroid dehydrogenase [Source:VB Community Annotation]
AGAP007882		ribosome maturation protein SBDS [Source:VB Community Annotation]
AGAP007883		
AGAP007884		protein dpy-30 [Source:VB Community Annotation]
AGAP007885		ER membrane protein complex subunit 3 [Source:UniProtKB/TrEMBL;Acc:Q7Q3I0]
AGAP007886		
AGAP007887		
AGAP007888		
AGAP007889		UDP-N-acetylglucosamine pyrophosphorylase [Source:VB Community Annotation]
AGAP007890		coiled-coil domain-containing protein 130 [Source:VB Community Annotation]
AGAP007891		methionyl-tRNA synthetase [Source:VB Community Annotation]
AGAP007892		paired amphipathic helix protein Sin3a [Source:VB Community Annotation]
AGAP007893		Protein FAM36A [Source:VB Community Annotation]
AGAP007894		translation elongation factor G [Source:VB Community Annotation]
AGAP007895		A-kinase anchor protein 10 [Source:UniProtKB/TrEMBL;Acc:A0A1S4GWK9]
AGAP007896		predicted G-protein coupled receptor GPCR [Source:VB Community Annotation]
AGAP007897		UbiA prenyltransferase domain containing 1 [Source:VB Community Annotation]
AGAP007899		
AGAP007901		Ras-related protein Rab-5C [Source:VB Community Annotation]
AGAP007902		
AGAP007903		excitatory amino acid transporter 2 isoform 2 [Source:VB Community Annotation]
AGAP007904		Leucine aminopeptidase-like protein [Source:VB Community Annotation]
AGAP007905		protocadherin-16/23 [Source:VB Community Annotation]
AGAP007906		Spink6 [Source:VB Community Annotation]
AGAP007907		salivary Kazal 1 [Source:VB Community Annotation]
AGAP007908		
AGAP007909		protocadherin-16/23 [Source:VB Community Annotation]
AGAP007910		
AGAP007911		
AGAP007912		ribosomal RNA assembly protein mis3, expressed [Source:VB Community Annotation]
AGAP007913		ubiquitin-like protein Nedd8 [Source:VB Community Annotation]
AGAP007914		Transport and Golgi organization 6 [Source:VB Community Annotation]
AGAP007915		
AGAP007916		
AGAP007917	ABCC12	ATP-binding cassette transporter (ABC transporter) family C member 12 [Source:UniProtKB/TrEMBL;Acc:A0A1S4GWP9]
AGAP007918		xanthine dehydrogenase/oxidase [Source:VB Community Annotation]
AGAP007919		
AGAP007920		glucuronosyltransferase [Source:VB Community Annotation]
AGAP007921		sterol carrier protein 2 [Source:VB Community Annotation]
AGAP007922		COX assembly mitochondrial protein [Source:UniProtKB/TrEMBL;Acc:A7UUS2]
AGAP007923		
AGAP007924		protocadherin Fat 4 [Source:VB Community Annotation]
AGAP007925		Ralgapb [Source:VB Community Annotation]
AGAP007926		
AGAP007927	RpL40	60S ribosomal protein L40 [Source:VB Community Annotation]
AGAP007928		Turtle protein, isoform [Source:VB Community Annotation]
AGAP007929		
AGAP007932		beat protein [Source:VB Community Annotation]
AGAP007933		beat protein [Source:VB Community Annotation]
AGAP007934		
AGAP007935		
AGAP007936		
AGAP007937	mRpL4	39S ribosomal protein L4, mitochondrial [Source:VB Community Annotation]
AGAP007938	cact	protein cactus (TOLL pathway signalling) [Source:VB Community Annotation]
AGAP007939		starch phosphorylase [Source:VB Community Annotation]
AGAP007940		Reticulon-like protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GWR7]
AGAP007941		serine palmitoyltransferase [Source:VB Community Annotation]
AGAP007942		synaptotagmin-1 [Source:VB Community Annotation]
AGAP007943		
AGAP007944		
AGAP007945		amiloride-sensitive sodium channel, other [Source:VB Community Annotation]
AGAP007946		
AGAP007947		
AGAP007948		NET1-associated nuclear protein 1 (U3 small nucleolar RNA-associated protein 1 [Source:VB Community Annotation]
AGAP007949		
AGAP007950		Uncharacterized protein KIAA0152 [Source:VB Community Annotation]
AGAP007951	IR68a	ionotropic receptor IR68a [Source:VB Community Annotation]
AGAP007952		ubiquitin-conjugating enzyme E2 D/E [Source:VB Community Annotation]
AGAP007953		ATP-dependent RNA helicase YTHDC2 [Source:VB Community Annotation]
AGAP007954		RING finger protein 10 [Source:VB Community Annotation]
AGAP007955		
AGAP007956		
AGAP007957		choline/ethanolamine kinase [Source:VB Community Annotation]
AGAP007958		acyl-CoA oxidase [Source:VB Community Annotation]
AGAP007959		
AGAP007962	por	protein-cysteine N-palmitoyltransferase porcupine [Source:VB Community Annotation]
AGAP007963		Sarcoplasmic calcium-binding protein [Source:VB Community Annotation]
AGAP007964		
AGAP007965		
AGAP007966		F-type H+-transporting ATPase subunit gamma [Source:VB Community Annotation]
AGAP007967		selenide, water dikinase [Source:VB Community Annotation]
AGAP007968		cysteine-rich with EGF-like domain protein 2 [Source:VB Community Annotation]
AGAP007969		Thiamin pyrophosphokinase-related protein [Source:VB Community Annotation]
AGAP007970	APG18A	autophagy related gene [Source:VB Community Annotation]
AGAP007971		
AGAP007972	ODDA	odd skipped-like protein [Source:VB Community Annotation]
AGAP007973	ODR1	odd-skipped related [Source:VB Community Annotation]
AGAP007974	drm	Protein drumstick [Source:UniProtKB/Swiss-Prot;Acc:Q7PN68]
AGAP007975		pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [Source:VB Community Annotation]
AGAP007976		antennae-specific protein [Source:VB Community Annotation]
AGAP007977		Fas-associated factor [Source:VB Community Annotation]
AGAP007978		histone-lysine N-methyltransferase SETDB [Source:VB Community Annotation]
AGAP007979		
AGAP007980	CPCFC1	cuticular protein CPCFC family (CPCFC1) [Source:VB Community Annotation]
AGAP007981		short chain dehydrogenase/reductase family 16c member 5 [Source:VB Community Annotation]
AGAP007982	ANCE8	angiotensin-converting enzyme 8 [Source:VB Community Annotation]
AGAP007983		lunapark [Source:VB Community Annotation]
AGAP007984		missing oocyte, meiosis regulator homolog (Drosophila) [Source:VB Community Annotation]
AGAP007985		Homeobox protein aristaless-related [Source:UniProtKB/TrEMBL;Acc:A0A1S4GWX6]
AGAP007987		bone morphogenetic protein 2/4 [Source:VB Community Annotation]
AGAP007988		glycerate kinase [Source:VB Community Annotation]
AGAP007989		
AGAP007990		glucosyl/glucuronosyl transferases [Source:VB Community Annotation]
AGAP007991		
AGAP007992		Vesicular glutamate transporter 2 [Source:VB Community Annotation]
AGAP007993		
AGAP007994		
AGAP007998		mitochondrial Rho GTPase 2 [Source:VB Community Annotation]
AGAP007999		nuclear pore complex protein Nup155 [Source:VB Community Annotation]
AGAP008000		sepiapterin reductase [Source:VB Community Annotation]
AGAP008001	RpS27a	40S ribosomal protein S27a [Source:VB Community Annotation]
AGAP008002		cyclin K [Source:VB Community Annotation]
AGAP008003		WD repeat domain 7 [Source:VB Community Annotation]
AGAP008004		
AGAP008005		
AGAP008006		Hepatoma-derived GF [Source:UniProtKB/TrEMBL;Acc:A0A1S4GXN5]
AGAP008007		cullin 1 [Source:VB Community Annotation]
AGAP008008		coiled-coil domain-containing protein 72 homolog [Source:VB Community Annotation]
AGAP008009		RYK receptor-like tyrosine kinase [Source:UniProtKB/TrEMBL;Acc:A0A1S4GWY8]
AGAP008010		
AGAP008011		
AGAP008012		
AGAP008013		
AGAP008014		
AGAP008015		lamin [Source:VB Community Annotation]
AGAP008016		acyl-CoA oxidase [Source:VB Community Annotation]
AGAP008017		
AGAP008018	CYP12F4	cytochrome P450 [Source:VB Community Annotation]
AGAP008019	CYP12F3	cytochrome P450 [Source:VB Community Annotation]
AGAP008020	CYP12F2	cytochrome P450 [Source:VB Community Annotation]
AGAP008022	CYP12F1	cytochrome P450 [Source:VB Community Annotation]
AGAP008023	en	segmentation polarity homeobox protein engrailed [Source:VB Community Annotation]
AGAP008025		Homeobox protein engrailed-like [Source:UniProtKB/TrEMBL;Acc:A0A1S4GX23]
AGAP008026		enhancer of polycomb-like protein [Source:VB Community Annotation]
AGAP008027		Slowmo [Source:VB Community Annotation]
AGAP008028		voltage-dependent calcium channel beta, invertebrate [Source:VB Community Annotation]
AGAP008033		
AGAP008034		solute carrier family 39 (zinc transporter), member 7 [Source:VB Community Annotation]
AGAP008035		
AGAP008036		
AGAP008037		KDEL (Lys-Asp-Glu-Leu) containing 1, isoform CRA_a [Source:VB Community Annotation]
AGAP008039		protein kinase A [Source:VB Community Annotation]
AGAP008040		
AGAP008041		RING finger protein 121 [Source:VB Community Annotation]
AGAP008042		pyridine nucleotide-disulfide oxidoreductase domain 1 [Source:VB Community Annotation]
AGAP008043	mRpS18B	28S ribosomal protein S18B, mitochondrial [Source:VB Community Annotation]
AGAP008044		programmed cell death 8 (apoptosis-inducing factor) [Source:VB Community Annotation]
AGAP008045		transcription initiation factor TFIID subunit 13 [Source:VB Community Annotation]
AGAP008046		protein kinase C and casein kinase substrate in neurons 2 protein [Source:VB Community Annotation]
AGAP008047		integrator complex subunit 1 [Source:VB Community Annotation]
AGAP008048		
AGAP008049		cell division cycle 123 homolog [Source:VB Community Annotation]
AGAP008050		phosphorylated adapter RNA export protein [Source:VB Community Annotation]
AGAP008051	SAP1	sensory appendage protein 1 [Source:VB Community Annotation]
AGAP008052	SAP2	sensory appendage protein 2 [Source:VB Community Annotation]
AGAP008053		sphingomyelin phosphodiesterase 2 [Source:VB Community Annotation]
AGAP008054	SAP3	sensory appendage protein 3 [Source:VB Community Annotation]
AGAP008055	CSP3	chemosensory protein 3 [Source:VB Community Annotation]
AGAP008056		
AGAP008059	CSP1	chemosensory protein 1 [Source:VB Community Annotation]
AGAP008060	IDGF2	imaginal disc growth factor 2 [Source:VB Community Annotation]
AGAP008061	IDGF4	imaginal disc growth factor 4 [Source:VB Community Annotation]
AGAP008062	CSP4	chemosensory protein 4 [Source:VB Community Annotation]
AGAP008063		exosome complex component CSL4 [Source:VB Community Annotation]
AGAP008064		uroporphyrinogen-III synthase [Source:VB Community Annotation]
AGAP008065		
AGAP008067		
AGAP008070		carboxypeptidase B [Source:VB Community Annotation]
AGAP008071		
AGAP008072		
AGAP008073		
AGAP008074		phosphatidylinositol glycan, class U [Source:VB Community Annotation]
AGAP008077		
AGAP008078		DET1- and DDB1-associated protein 1 [Source:VB Community Annotation]
AGAP008080		
AGAP008081		
AGAP008082		
AGAP008083		
AGAP008084		transcription initiation factor TFIID TATA-box-binding protein [Source:VB Community Annotation]
AGAP008085		cation-transporting ATPase 13A1 [Source:VB Community Annotation]
AGAP008086		mitochondrial processing peptidase [Source:VB Community Annotation]
AGAP008087		ribonuclease III [Source:VB Community Annotation]
AGAP008088		ribonuclease HI [Source:VB Community Annotation]
AGAP008089		
AGAP008090		nuclear pore complex protein Nup205 [Source:VB Community Annotation]
AGAP008091	CLIPE1	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP008092		GDP-L-fucose synthase [Source:VB Community Annotation]
AGAP008093		four-jointed box protein 1 [Source:VB Community Annotation]
AGAP008094		gamma-secretase subunit PEN-2 [Source:VB Community Annotation]
AGAP008095		
AGAP008096		Sphingomyelin phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1S4GXA1]
AGAP008097		glucose-fructose oxidoreductase domain-containing protein 2 precursor [Source:VB Community Annotation]
AGAP008098		
AGAP008099		Ubiquitin-fold modifier-conjugating enzyme 1 [Source:UniProtKB/Swiss-Prot;Acc:Q7PND3]
AGAP008100		Spire [Source:VB Community Annotation]
AGAP008105		cullin 3 [Source:VB Community Annotation]
AGAP008106		Trafficking protein particle complex subunit 4 [Source:VB Community Annotation]
AGAP008107		etoposide-induced 2.4 mRNA [Source:VB Community Annotation]
AGAP008108		Uncharacterized protein [Source:VB Community Annotation]
AGAP008109		venom allergen [Source:VB Community Annotation]
AGAP008110		
AGAP008111		methyltransferase-like protein 14 [Source:VB Community Annotation]
AGAP008112		
AGAP008113		
AGAP008114	Or22	odorant receptor 22 [Source:VB Community Annotation]
AGAP008115		
AGAP008116		
AGAP008117		
AGAP008118		serine/threonine-protein kinase Chk1 [Source:VB Community Annotation]
AGAP008122		U6 snRNA-associated Sm-like protein LSm7 [Source:VB Community Annotation]
AGAP008123		
AGAP008124		chitinase domain-containing protein 1 [Source:VB Community Annotation]
AGAP008125		all-trans-retinol dehydrogenase (NAD+) [Source:VB Community Annotation]
AGAP008126		
AGAP008129		mitogen-activated protein kinase organizer 1 [Source:VB Community Annotation]
AGAP008130		menin [Source:VB Community Annotation]
AGAP008131		UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [Source:VB Community Annotation]
AGAP008132		beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [Source:VB Community Annotation]
AGAP008133		Retinaldehyde binding protein 1 [Source:VB Community Annotation]
AGAP008134		
AGAP008135		Gonadotropin inducible transcription factor [Source:VB Community Annotation]
AGAP008136		peptidyl-prolyl cis-trans isomerase-like 4 [Source:VB Community Annotation]
AGAP008137		Niemann-Pick C1 protein [Source:VB Community Annotation]
AGAP008138		
AGAP008139		
AGAP008140		
AGAP008141		argininosuccinate lyase [Source:VB Community Annotation]
AGAP008143		
AGAP008146		
AGAP008147		tRNA-splicing ligase RtcB homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7Q412]
AGAP008148		RING finger and SPRY domain-containing protein 1 [Source:VB Community Annotation]
AGAP008149		protein phosphatase 1B (formerly 2C) [Source:VB Community Annotation]
AGAP008150		Metaxin-2 [Source:VB Community Annotation]
AGAP008151		DNA-directed RNA polymerase III subunit RPC2 [Source:VB Community Annotation]
AGAP008152		
AGAP008153		
AGAP008154		
AGAP008155		forkhead box protein D [Source:VB Community Annotation]
AGAP008156		COP9 signalosome complex subunit 6 [Source:VB Community Annotation]
AGAP008157		zinc finger protein 330 homolog [Source:VB Community Annotation]
AGAP008158		dCMP deaminase [Source:VB Community Annotation]
AGAP008159		ribosome biogenesis protein ENP2 [Source:VB Community Annotation]
AGAP008160		myb proto-oncogene protein [Source:VB Community Annotation]
AGAP008161		ribonuclease H2 subunit B [Source:VB Community Annotation]
AGAP008162		SNARE-associated protein Snapin [Source:VB Community Annotation]
AGAP008163		U4/U6 small nuclear ribonucleoprotein SNU13 [Source:VB Community Annotation]
AGAP008164		La-related protein 7 [Source:VB Community Annotation]
AGAP008165		cellular retinaldehyde binding protein [Source:VB Community Annotation]
AGAP008166		heparan sulfate 2-O-sulfotransferase HS2ST1 [Source:VB Community Annotation]
AGAP008167		abhydrolase domain containing 4 [Source:VB Community Annotation]
AGAP008169		
AGAP008170		
AGAP008173		
AGAP008174		
AGAP008176		dipeptidyl-peptidase 4 [Source:VB Community Annotation]
AGAP008177		
AGAP008178		
AGAP008179	SCRBQ3	Class B Scavenger Receptor (CD36 domain). [Source:VB Community Annotation]
AGAP008180		
AGAP008181		protein SMG5 [Source:VB Community Annotation]
AGAP008182		
AGAP008183	CLIPD2	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP008184		phospholipid-translocating ATPase [Source:VB Community Annotation]
AGAP008185		Multiple epidermal growth factor-like domains 8 [Source:VB Community Annotation]
AGAP008186		myosin motor [Source:VB Community Annotation]
AGAP008187		
AGAP008188		
AGAP008189		
AGAP008190		Gliotactin [Source:VB Community Annotation]
AGAP008191		cyclin E [Source:VB Community Annotation]
AGAP008192		
AGAP008193		nidogen (entactin) [Source:VB Community Annotation]
AGAP008194		
AGAP008195		protein kinase, AMP-activated, beta 2 non-catalytic subunit [Source:VB Community Annotation]
AGAP008198		
AGAP008199		
AGAP008201		potassium voltage-gated channel subfamily C member 1 isoform B [Source:VB Community Annotation]
AGAP008202		potassium voltage-gated channel Shaw-related subfamily C, invertebrate [Source:VB Community Annotation]
AGAP008203	CYP6S2	cytochrome P450 [Source:VB Community Annotation]
AGAP008204	CYP6S1	cytochrome P450 [Source:VB Community Annotation]
AGAP008205	CYP6R1	cytochrome P450 [Source:VB Community Annotation]
AGAP008206	CYP6N2	cytochrome P450 [Source:VB Community Annotation]
AGAP008207	CYP6Y2	cytochrome P450 [Source:VB Community Annotation]
AGAP008208	CYP6Y1	cytochrome P450 [Source:VB Community Annotation]
AGAP008209	CYP6M1	cytochrome P450 [Source:VB Community Annotation]
AGAP008210	CYP6N1	cytochrome P450 [Source:VB Community Annotation]
AGAP008212	CYP6M2	cytochrome P450 [Source:VB Community Annotation]
AGAP008213	CYP6M3	cytochrome P450 [Source:VB Community Annotation]
AGAP008214	CYP6M4	cytochrome P450 [Source:VB Community Annotation]
AGAP008215	SG7b	salivary gland protein 7-like [Source:VB Community Annotation]
AGAP008216	SG7	salivary gland protein 7 [Source:VB Community Annotation]
AGAP008217	CYP6Z3	cytochrome P450 [Source:VB Community Annotation]
AGAP008218	CYP6Z2	cytochrome P450 [Source:VB Community Annotation]
AGAP008219	CYP6Z1	cytochrome P450 [Source:VB Community Annotation]
AGAP008222	ODR2	odd-skipped related [Source:VB Community Annotation]
AGAP008223		Armadillo repeat-containing protein 4 [Source:VB Community Annotation]
AGAP008224		
AGAP008225		trehalose 6-phosphate phosphatase [Source:VB Community Annotation]
AGAP008226		Protein YIPF [Source:UniProtKB/TrEMBL;Acc:A0A1S4GYB9]
AGAP008227		trehalose 6-phosphate synthase/phosphatase [Source:VB Community Annotation]
AGAP008228		dual specificity phosphatase [Source:VB Community Annotation]
AGAP008229		Polypeptide N-acetylgalactosaminyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7Q456]
AGAP008230		
AGAP008231		
AGAP008232		
AGAP008233		
AGAP008234		NTF2-related export protein 1/2 [Source:VB Community Annotation]
AGAP008235		
AGAP008236	Thoc2	THO complex subunit 2 [Source:VB Community Annotation]
AGAP008237		putative G-protein coupled receptor GPCR [Source:VB Community Annotation]
AGAP008238		
AGAP008239		ATP-dependent RNA helicase DHX36 [Source:VB Community Annotation]
AGAP008242		
AGAP008244		
AGAP008245		
AGAP008246		gamma-butyrobetaine dioxygenase [Source:VB Community Annotation]
AGAP008247		TGF-beta receptor type-1 [Source:VB Community Annotation]
AGAP008249		T-complex protein, epsilon subunit [Source:VB Community Annotation]
AGAP008252		Protein of unknown function DUF255 [Source:VB Community Annotation]
AGAP008253		
AGAP008254		
AGAP008258		lactosylceramide 4-alpha-galactosyltransferase [Source:VB Community Annotation]
AGAP008259		lactosylceramide 4-alpha-galactosyltransferase [Source:VB Community Annotation]
AGAP008260		
AGAP008261		
AGAP008262		
AGAP008263		pre-mRNA-processing factor 40 [Source:VB Community Annotation]
AGAP008264		Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1S4GYF7]
AGAP008265		seryl-tRNA synthetase [Source:VB Community Annotation]
AGAP008266		
AGAP008267		Ran GTPase-activating protein 1 [Source:VB Community Annotation]
AGAP008268		Maternal tudor protein [Source:VB Community Annotation]
AGAP008269		protein pelota [Source:VB Community Annotation]
AGAP008270		
AGAP008271		
AGAP008272		secretion-regulating guanine nucleotide exchange factor [Source:VB Community Annotation]
AGAP008273		
AGAP008274		snail, invertebrate [Source:VB Community Annotation]
AGAP008275		Tektin-2 [Source:VB Community Annotation]
AGAP008276		
AGAP008277		trypsinogen 2 [Source:VB Community Annotation]
AGAP008278	D7L1	D7 long form salivary protein [Source:VB Community Annotation]
AGAP008279	D7L2	D7 long form salivary protein [Source:VB Community Annotation]
AGAP008280	D7r5	D7 short form salivary protein [Source:VB Community Annotation]
AGAP008281	D7r4	D7 short form salivary protein [Source:VB Community Annotation]
AGAP008282	D7r2	D7 short form salivary protein [Source:VB Community Annotation]
AGAP008283	D7r3	D7 short form salivary protein [Source:VB Community Annotation]
AGAP008284	D7r1	D7 short form salivary protein [Source:VB Community Annotation]
AGAP008285		beta-1,4-galactosyltransferase [Source:VB Community Annotation]
AGAP008286		WD repeat-containing protein 55 homolog [Source:VB Community Annotation]
AGAP008287		Programmed cell death protein [Source:VB Community Annotation]
AGAP008288	TIM	timeless [Source:VB Community Annotation]
AGAP008289		
AGAP008290	TRYP6	trypsin 6 [Source:VB Community Annotation]
AGAP008291	TRYP5	trypsin 5 [Source:VB Community Annotation]
AGAP008292	TRYP4	trypsin 4 [Source:VB Community Annotation]
AGAP008293	TRYP7	trypsin 7 [Source:VB Community Annotation]
AGAP008294	TRYP3	trypsin 3 [Source:VB Community Annotation]
AGAP008295	TRYP2	trypsin 2 [Source:VB Community Annotation]
AGAP008296	TRYP1	trypsin 1 [Source:VB Community Annotation]
AGAP008297		leucyl-tRNA synthetase [Source:VB Community Annotation]
AGAP008298		U5 snRNP protein, DIM1 family [Source:VB Community Annotation]
AGAP008299		
AGAP008300		elongator complex protein 3 [Source:VB Community Annotation]
AGAP008301		
AGAP008302		
AGAP008303		splicing factor, arginine/serine-rich 7 [Source:VB Community Annotation]
AGAP008304		3',5'-cyclic-nucleotide phosphodiesterase [Source:VB Community Annotation]
AGAP008305		phosphoglucomutase [Source:VB Community Annotation]
AGAP008306		
AGAP008307		
AGAP008308		
AGAP008310		
AGAP008311		acylphosphatase [Source:VB Community Annotation]
AGAP008312		
AGAP008313		
AGAP008314		U1 snRNP splicing complex subunit (Luc7) [Source:VB Community Annotation]
AGAP008315		dolichyl-phosphate beta-glucosyltransferase [Source:VB Community Annotation]
AGAP008317		tyrosine-protein kinase Tec [Source:VB Community Annotation]
AGAP008318		
AGAP008319		
AGAP008320		Sidestep protein [Source:VB Community Annotation]
AGAP008321		membrane protein, palmitoylated 6 [Source:VB Community Annotation]
AGAP008322		
AGAP008323		
AGAP008324		enhancer of mRNA-decapping protein 4 [Source:VB Community Annotation]
AGAP008325		U3 small nucleolar RNA-associated protein 23 [Source:VB Community Annotation]
AGAP008326		
AGAP008327		DnaJ homolog subfamily B member 11 [Source:VB Community Annotation]
AGAP008328		
AGAP008329	RpS5	40S ribosomal protein S5 [Source:VB Community Annotation]
AGAP008330		guanine nucleotide-binding protein-like 1 [Source:VB Community Annotation]
AGAP008331		WD repeat-containing protein 59 [Source:VB Community Annotation]
AGAP008332		replication factor A2 [Source:VB Community Annotation]
AGAP008333	Or9	odorant receptor 9 [Source:VB Community Annotation]
AGAP008334		nuclear receptor subfamily 4 group A member 2 [Source:VB Community Annotation]
AGAP008335		solute carrier family 22 member 3 [Source:VB Community Annotation]
AGAP008336		Protein phosphatase methylesterase 1 [Source:UniProtKB/TrEMBL;Acc:Q7Q4C8]
AGAP008337		Spo0B-associated GTP-binding protein [Source:VB Community Annotation]
AGAP008338		
AGAP008339		signal recognition particle subunit SRP14 [Source:VB Community Annotation]
AGAP008340		
AGAP008341		serine/threonine-protein kinase Chk2 [Source:VB Community Annotation]
AGAP008343		
AGAP008344		nuclear transcription Y subunit beta [Source:VB Community Annotation]
AGAP008345		methionyl aminopeptidase [Source:VB Community Annotation]
AGAP008347	GPRRK	putative glycoprotein hormone rk-like receptor [Source:VB Community Annotation]
AGAP008348		
AGAP008349		Pyruvate dehyrogenase phosphatase catalytic subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A1S4GY06]
AGAP008350	DBLOX	Double Oxidase: Two Peroxidase domains. [Source:VB Community Annotation]
AGAP008352		DNA polymerase delta subunit 3 [Source:UniProtKB/TrEMBL;Acc:A0A1S4GY12]
AGAP008353		Scat [Source:UniProtKB/TrEMBL;Acc:A0A1S4GYQ4]
AGAP008354		Janus kinase 2 [Source:VB Community Annotation]
AGAP008355		
AGAP008356	CYP4H16	cytochrome P450 [Source:VB Community Annotation]
AGAP008357		kinesin family member 26 [Source:VB Community Annotation]
AGAP008358	CYP4H17	cytochrome P450 [Source:VB Community Annotation]
AGAP008359		sodium-coupled monocarboxylate transporter 1 [Source:VB Community Annotation]
AGAP008360	SPZ3	spaetzle-like cytokine 3 [Source:VB Community Annotation]
AGAP008362		kelch-like protein 2/3 [Source:VB Community Annotation]
AGAP008363		cytochrome b5 outer mitochondrial membrane isoform [Source:VB Community Annotation]
AGAP008364	TEP15	thioester-containing protein 15 [Source:VB Community Annotation]
AGAP008366	TEP2	thioester-containing protein 2 [Source:VB Community Annotation]
AGAP008368	TEP14	thioester-containing protein 14 [Source:VB Community Annotation]
AGAP008369		
AGAP008370		carboxypeptidase A [Source:VB Community Annotation]
AGAP008371		
AGAP008372		
AGAP008373		
AGAP008374		Inosine triphosphate pyrophosphatase [Source:UniProtKB/Swiss-Prot;Acc:Q7Q4F5]
AGAP008375		mannose-P-dolichol utilization defect 1 [Source:VB Community Annotation]
AGAP008376	mRpL28	39S ribosomal protein L28, mitochondrial [Source:VB Community Annotation]
AGAP008377		TBC1 domain family member 19 [Source:VB Community Annotation]
AGAP008378		amiloride-sensitive sodium channel, other [Source:VB Community Annotation]
AGAP008379		
AGAP008380		
AGAP008381		U4/U6.U5 tri-snRNP-associated protein 2 [Source:VB Community Annotation]
AGAP008382		nuclear receptor subfamily 2 group C [Source:VB Community Annotation]
AGAP008384		
AGAP008385		
AGAP008387		
AGAP008388		
AGAP008389		
AGAP008390		INO80 complex subunit C [Source:VB Community Annotation]
AGAP008391		
AGAP008392		hsp70-interacting protein [Source:VB Community Annotation]
AGAP008393		DNA-directed RNA polymerase II subunit RPB9 [Source:VB Community Annotation]
AGAP008397		
AGAP008398	OBP21	odorant-binding protein 21 [Source:VB Community Annotation]
AGAP008399		
AGAP008400		
AGAP008402		
AGAP008403		
AGAP008404		
AGAP008405	mRpL24	39S ribosomal protein L24, mitochondrial [Source:VB Community Annotation]
AGAP008406		geranylgeranyl transferase type-1 subunit beta [Source:VB Community Annotation]
AGAP008407	TEP13	thioester-containing protein 13 [Source:VB Community Annotation]
AGAP008408		
AGAP008409		
AGAP008410		
AGAP008412		ubiquitin thioesterase CYLD [Source:VB Community Annotation]
AGAP008413		
AGAP008414		alpha-methylacyl-CoA racemase [Source:VB Community Annotation]
AGAP008415		jumonji domain-containing protein 4 [Source:VB Community Annotation]
