GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Gou_v_Moz_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	GeneName	GeneDescription
AGAP005525	0.101	0.957	0.227	0.188	0.496	0.711	0.934	0.35	0.227	0.603	0.003	0.058	0	0.04	0	0.893	0.004	0.001	0.009	0.256	0.003	0.002	0.274	0	0.066	0.002	0.024	0.001	""	""
AGAP000929	0.101	0.257	0.132	0.725	0.015	0.981	0.109	0	0	0.949	0.035	0.107	0.001	0.041	0	0.111	0.019	0	0.001	0.073	0	0.022	0.815	0.133	0.388	0.708	0.948	0.68	CTLSE1	C-type lectin (CTL) - selectin like [Source:VB Community Annotation]
AGAP013266	0.101	0.155	0.265	0.7	0.314	0.038	0.005	0.009	0	0.005	0.4	0.014	0.644	0.33	0.073	0.847	0.905	0	0.256	0.679	0.749	0.178	0.048	0.648	0.086	0.299	0.997	0.703	""	eukaryotic translation initiation factor 2-alpha kinase 3 [Source:VB Community Annotation]
AGAP004727	0.101	0.597	0.261	0.048	0.13	0.746	0.73	0.626	0.23	0.061	0.85	0.027	0.631	0.129	0.986	0.046	0.566	0	0	0.003	0.081	0.991	0	0.001	0.176	0.128	0.027	0.011	Gr25	gustatory receptor 25 [Source:VB Community Annotation]
AGAP012984	0.102	0.205	0	0.021	0.472	0	0.597	0.101	0	0.399	0	0.857	0	0.137	0	0	0	0	0	0.001	0	0	0.941	0.473	0.822	0.345	0.909	0.113	""	Protease m1 zinc metalloprotease [Source:VB Community Annotation]
AGAP009259	0.102	0.527	0.022	0.134	0.078	0.492	0.881	0.5	0.405	0.325	0.389	0.726	0.93	0.819	0.99	0.022	0.348	0.58	0.02	0.514	0.099	0.438	0.981	0.847	0.294	0.469	0.84	0.862	""	lysophospholipid acyltransferase 7 [Source:VB Community Annotation]
AGAP006245	0.102	0.562	0.997	0.91	0.005	0.863	0.229	0.639	0.893	0.826	0.815	0.409	0.463	0.287	0.275	0.242	0.999	0.663	0.078	0.583	0.449	0.001	0.908	0.013	0.915	0.043	0.95	0.062	""	zinc finger matrin-type protein 2 [Source:VB Community Annotation]
AGAP006119	0.102	0.118	0.666	0.312	0.135	0.332	0.874	0.325	0.056	0.005	0	0.11	0.003	0.132	0.006	0.181	0.988	0	0.027	0.826	0.377	0.125	0.359	0.011	0.501	0.402	0.597	0.774	""	""
AGAP007982	0.102	0.819	0.01	0	0.751	0.833	0.456	0.002	0	0.856	0.292	0.056	0.794	0.026	0.385	0.127	0	0	0.834	0.614	0.065	0.132	0	0	0.146	0.326	0.592	0.004	ANCE8	angiotensin-converting enzyme 8 [Source:VB Community Annotation]
AGAP004462	0.102	0.211	0	0.131	0.663	0.856	0.042	0.94	0.871	0.1	0.417	0.09	0.433	0.149	0.599	0.933	0.834	0.341	0.006	0.061	0.019	0.518	0.001	0	0	0	0.004	0.002	RpS25	40S ribosomal protein S25 [Source:VB Community Annotation]
AGAP008013	0.102	0.016	0	0.939	0.758	0.004	0	0	0.002	0.304	0.266	0.164	0.094	0	0.988	0	0	0.001	0	0.001	0.001	0.44	0.051	0	0	0	0	0	""	""
AGAP011945	0.102	0.137	0.32	0.04	0.004	0.37	0.883	0.615	0.54	0	0	0	0	0	0	0.043	0.02	0.755	0.663	0.737	0.006	0	0.03	0.046	0.728	0.863	0.868	0.982	""	""
AGAP027998	0.102	0.686	0.047	0	0.011	0.027	0.119	0.001	0.002	0.034	0.004	0.025	0.002	0.028	0.004	0.32	0.908	0.037	0.887	0.898	0.645	0.006	0	0.881	0.989	0.558	0.604	0.537	""	""
AGAP001139	0.102	0.062	0.003	0.19	0.001	0.9	0.657	0.989	0.183	0.938	0.97	0.469	0.379	0.298	0.274	0.95	0.415	0.017	0.018	0.524	0	0.016	0	0	0.227	0.07	0.212	0.008	mRpL19	39S ribosomal protein L19, mitochondrial [Source:VB Community Annotation]
AGAP004031	0.102	0.733	0	0.855	0.279	0.617	0	0	0	0.027	0.857	0.174	0.377	0.285	0.394	0.016	0.104	0	0.24	0.46	0.815	0.021	0.435	0.881	0.219	0.74	0.108	0.568	""	mitochondrial electron transfer flavoprotein subunit alpha [Source:VB Community Annotation]
AGAP007731	0.103	0.892	0.054	0.876	0.924	0.898	0.943	0.024	0	0.719	0	0.77	0	0.628	0.001	0.416	0.238	0.928	0.156	0.977	0.862	0.077	0.157	0.224	0.55	0.788	0.363	0.976	""	""
AGAP011586	0.103	0.435	0.458	0.108	0.017	0.99	0.157	0.646	0.143	0.461	0.396	0.531	0.349	0.618	0.013	0.249	0.229	0	0	0.539	0.118	0.082	0.016	0	0.017	0	0	0	""	protein-tyrosine phosphatase [Source:VB Community Annotation]
AGAP012826	0.103	0.693	0.022	0	0	0.936	0.408	0.472	0.41	0.719	0.394	0.743	0.984	0.697	0.994	0.07	0.989	0.375	0.859	0.861	0.872	0.002	0.865	0	0.018	0.031	0.082	0.061	""	Interferon-stimulated gene 20 kDa protein [Source:VB Community Annotation]
AGAP008796	0.103	0.712	0.342	0.235	0.486	0.53	0.29	0.696	0.044	0.42	0.524	0.221	0.359	0.182	0.285	0.671	0.746	0.642	0.864	0.829	0.982	0.818	0.019	0.026	0.78	0.454	0.402	0.255	""	""
AGAP002328	0.103	0	0	0.001	0.967	0.028	0.175	0.006	0	0.161	0.312	0.253	0.496	0.008	0.018	0.512	0.004	0.298	0.349	0.01	0.332	0.01	0.087	0.001	0.003	0.024	0	0.002	""	""
AGAP002420	0.103	0.054	0.027	0.008	0.009	0.526	0.957	0.531	0.108	0.36	0.001	0.544	0	0.371	0.004	0.183	0.009	0.323	0.702	0.578	0.491	0.726	0.819	0	0.135	0	0.037	0.003	""	alpha-1,2-glucosyltransferase [Source:VB Community Annotation]
AGAP007389	0.103	0	0.431	0.27	0.039	0.556	0.698	0.36	0.512	0.233	0.008	0.996	0	0.933	0	0.39	0.051	0.47	0.656	0.704	0.577	0.822	0.915	0.234	0.076	0.963	0.561	0.483	""	""
AGAP012305	0.103	0	0	0	0.023	0	0.003	0.018	0.001	0.178	0.022	0.038	0.005	0.002	0	0.054	0	0	0.324	0.378	0.964	0	0	0.902	0.711	0.967	0.189	0.178	""	Muscle LIM protein at 84B [Source:VB Community Annotation]
AGAP006457	0.104	0.762	0.555	0.357	0.564	0.571	0.885	0.705	0.72	0.027	0.244	0.12	0.06	0.171	0.04	0.974	0.298	0.895	0.029	0.898	0.104	0.788	0.24	0	0.07	0	0.004	0	""	""
AGAP004546	0.104	0.486	0.003	0.931	0.369	0.564	0.857	0.153	0.241	0.846	0.011	0.501	0.002	0.568	0.005	0.001	0	0.06	0.492	0.861	0.092	0.134	0.378	0.341	0.546	0.365	0.438	0.273	""	RNA-binding protein 25 [Source:VB Community Annotation]
AGAP006779	0.104	0.011	0.939	0.543	0.842	0.105	0.035	0.571	0.276	0.441	0.296	0.208	0.581	0.208	0.498	0.673	0.537	0.823	0.486	0.803	0.331	0.071	0.457	0.366	0.846	0.149	0.38	0.689	""	""
AGAP011936	0.104	0.102	0.053	0.055	0	0.712	0.001	0	0	0.697	0.339	0.344	0.157	0.007	0.001	0.851	0	0	0	0.011	0	0	0.02	0.043	0.647	0.111	0.011	0.006	""	""
AGAP000705	0.105	0.876	0.024	0.211	0.003	0	0	0.001	0	0.058	0.696	0.237	0.966	0.173	0.873	0.825	0.01	0.012	0.253	0.412	0.013	0.001	0.304	0.033	0.04	0.357	0.202	0.694	""	protein DJ-1 [Source:VB Community Annotation]
AGAP011815	0.105	0.893	0.613	0.791	0	0.062	0.077	0	0	0.017	0.186	0.031	0.069	0.032	0.091	0.067	0	0.033	0.197	0.405	0.836	0.309	0	0.277	0.375	0.074	0.174	0.057	""	""
AGAP004288	0.105	0.002	0.613	0.019	0.173	0.683	0.881	0.092	0.002	0.854	0.003	0.425	0.027	0.885	0.003	0.951	0	0	0.026	0.459	0.199	0	0.013	0.066	0.018	0.178	0.255	0.249	""	tubulin polyglutamylase TTLL5 [Source:VB Community Annotation]
AGAP004455	0.105	0.333	0.416	0	0	0	0	0	0	0.824	0.66	0.087	0.016	0.016	0.001	0.361	0.544	0	0.934	0.04	0.342	0.029	0	0	0.007	0	0	0.024	GNBPB1	3-glucan binding protein [Source:VB Community Annotation]
AGAP001539	0.105	0.649	0.008	0.048	0.973	0.459	0.592	0.928	0.398	0.541	0.001	0.982	0	0.883	0	0.256	0.989	0.103	0.312	0.809	0.723	0.005	0	0.271	0.878	0.426	0.834	0.701	""	histone acetyltransferase HTATIP [Source:VB Community Annotation]
AGAP000950	0.105	0.281	0.245	0	0.293	0.694	0.657	0.823	0.596	0.842	0	0.526	0	0.744	0.001	0.014	0.07	0.326	0.222	0.915	0.024	0	0.386	0.019	0.977	0.172	0.544	0.247	mRpL9	39S ribosomal protein L9, mitochondrial [Source:VB Community Annotation]
AGAP005797	0.105	0.886	0.366	0	0	0.694	0.497	0.586	0.198	0.33	0.428	0.662	0.816	0.665	0.446	0.481	0.513	0.929	0.007	0.022	0.091	0	0.001	0.757	0.527	0.055	0.403	0.308	""	""
AGAP003678	0.105	0.679	0.025	0.005	0.001	0.035	0.371	0.023	0	0.073	0.216	0.041	0.113	0.011	0.051	0.01	0.384	0	0.222	0.987	0.318	0.17	0.023	0.004	0.762	0.005	0.42	0.266	LST2	lateral signalling target protein 2 [Source:VB Community Annotation]
AGAP013011	0.106	0.85	0.97	0.876	0	0.063	0.422	0.082	0.221	0.879	0.49	0.049	0.719	0.029	0.639	0	0	0.096	0.76	0.95	0.998	0.218	0.473	0	0.387	0.005	0.004	0.007	""	A-kinase anchoring protein AKAP120 [Source:VB Community Annotation]
AGAP011604	0.106	0.722	0	0	0.713	0.581	0.001	0	0.002	0.135	0.024	0.414	0.148	0.198	0.036	0.001	0.737	0.069	0	0.167	0.001	0.023	0.096	0	0.006	0	0.001	0	""	""
AGAP008380	0.106	0.794	0.362	0.561	0.533	0.636	0.618			0.948	0.607	0.842	0.452	0.808		0.324	0.998	0.066	0.505	0.554		0.803	0.233	0.786	0.727	0.447	0.443	0.154	""	""
AGAP009196	0.106	0	0	0	0.16	0.004	0.025	0.511	0.278	0	0.252	0	0.757	0	0.863	0.714	0.301	0	0.006	0.665	0	0	0.018	0.001	0.976	0	0.005	0.208	GSTE7	glutathione S-transferase epsilon class 7 [Source:VB Community Annotation]
AGAP007214	0.106	0.266	0.423	0	0.536	0.629	0.346	0.836	0.895	0.892	0.598	0.422	0.918	0.699		0.222	0.153	0.443	0.618	0.916	0.592	0.662	0.263	0.104	0.574	0.836	0.866	0.493	""	""
AGAP012115	0.106	0.266	0.017	0.041	0.07	0.973	0.827	0.442	0.03	0.005	0.178	0	0.028	0.005	0.119	0.024	0.028	0	0.613	0.742	0.559	0.201	0	0.003	0.247	0.014	0.185	0.309	""	Ca2+-transporting ATPase [Source:VB Community Annotation]
AGAP007313	0.106	0.159	0.025	0.495	0.488	0.777	0.138	0.774	0.718	0.945	0.001	0.538	0	0.822	0	0.001	0	0	0.61	0.887	0.562	0.086	0.17	0.895	0.712	0.397	0.832	0.577	""	""
AGAP013158	0.106	0.952	0.002	0.076	0.032	0.91	0.402	0.363	0.054	0.414	0.982	0.348	0.963	0.193	0.635	0.005	0.383	0.146	0.281	0.632	0.399	0.846	0.615	0.052	0.213	0.48	0.658	0.116	""	""
AGAP004844	0.106	0.144	0	0.017	0.484	0.882	0.731	0.31	0.681	0.106	0	0.345	0	0.959	0	0.493	0	0.037	0.43	0.184	0.769	0	0	0.034	0.12	0.326	0.276	0.226	""	suppressor of cytokine signaling, invertebrate [Source:VB Community Annotation]
AGAP002419	0.107	0.052	0.623	0.006	0.763	0.957	0.972	0.641	0.885	0.276	0.474	0.264	0.44	0.365	0.248	0.012	0.459	0	0.797	0	0.031	0.444	0	0.14	0.484	0.007	0.124	0.37	CYP4D22	cytochrome P450 [Source:VB Community Annotation]
AGAP003745	0.107	0.581	0.08	0.994	0.727	0.618	0.233	0.18	0.026	0.214	0.071	0.211	0.064	0.332	0.117	0.276	0.059	0.023	0.837	0.786	0.952	0.048	0.117	0.366	0.239	0.727	0.615	0.959	""	""
AGAP011826	0.107	0.013	0.003	0.258	0.435	0.43	0.588	0.593	0.015	0.397	0.429	0.814	0.241	0.61	0.031	0.004	0.002	0.387	0.001	0.394	0	0.18	0.263	0.166	0.975	0.734	0.975	0.808	""	cytochrome c oxidase assembly protein subunit 17 [Source:VB Community Annotation]
AGAP007706	0.107	0.515	0	0.075	0.001	0.604	0.436	0.461	0.079	0.013	0.052	0.307	0.59	0.526	0.713	0.697	0.783	0.077	0.11	0.547	0.72	0.098	0.5	0.106	0.017	0.91	0.84	0.859	""	kinesin family member 20/23 [Source:VB Community Annotation]
AGAP000053	0.107	0.034	0.002	0.002	0.957	0.788	0.043	0.178	0.087	0.035	0.345	0.173	0.711	0.615	0.901	0.735	0.001	0.001	0.032	0.007	0.466	0.696	0.53	0.007	0.08	0.885	0.918	0.845	""	Mannose-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:Q7QEL8]
AGAP009068	0.108	0.608	0.453	0.017	0.339	0.332	0.643	0.985	0.57	0.906	0	0.795	0	0.776	0	0.653	0.546	0.204	0.912	0.317	0.92	0.003	0.525	0.895	0.304	0.167	0.764	0.072	""	zinc finger protein HPF2 [Source:VB Community Annotation]
AGAP010035	0.108	0.258	0.05	0.724	0.039	0.49	0.885	0.976	0.918	0.408	0.716	0.237	0.836	0.627	0.738	0.162	0.533	0.07	0.238	0.063	0.202	0.822	0.072	0.431	0.404	0.155	0.201	0.104	""	TORC1 growth control complex subunit Kog1 [Source:VB Community Annotation]
AGAP000770	0.108	0.042	0.121	0.494	0.867	0.804	0.46	0.037	0.013	0.239	0.146	0.273	0.126	0.395	0.248	0.167	0.81	0	0	0.45	0.484	0.353	0.237	0.63	0.428	0.544	0.228	0.487	""	vacuole morphology and inheritance protein 14 [Source:VB Community Annotation]
AGAP007872	0.108	0.036	0.349	0.094	0.971	0.318	0.37	0.986	0.631	0.288	0.778	0.157	0.844	0.136	0.792	0.005	0.658	0.791	0.025	0.247	0.5	0.452	0.017	0.152	0.618	0.535	0.068	0.071	""	Mps one binder kinase activator-like 3 [Source:VB Community Annotation]
AGAP004147	0.108	0.884	0.743	0.563	0.821	0.782	0.378	0.698	0.12	0.889	0.397	0.855	0.715	0.829	0.523	0.364	0.687	0.616	0.597	0.11	0.913	0.269	0.956	0.83	0.993	0.517	0.619	0.748	Exo5	exocyst complex component 5 [Source:VB Community Annotation]
AGAP007475	0.108	0.074	0.676	0.117	0.34	0.074	0.026	0.005	0.003	0.093	0.043	0.025	0.115	0.115	0.004	0.488	0.852	0.587	0.659	0.755	0.806	0.584	0.668	0.966	0.271	0.787	0.928	0.946	""	dehydrogenase/reductase SDR family member 4 [Source:VB Community Annotation]
AGAP003557	0.108	0.213	0.104	0	0	0.392	0.403	0.052	0.04	0.727	0.919	0.843	0.994	0.916	0.956	0.001	0.072	0	0.06	0.089	0.502	0	0	0	0.008	0.123	0	0.444	""	""
AGAP002193	0.108	0.248	0.416	0.289	0.622	0.59	0.972	0.217	0.182	0.878	0.53	0.707	0.502	0.577	0.097	0.114	0.106	0.084	0.889	0.915	0.411	0.002	0.963	0.428	0.865	0.423	0.449	0.378	""	nuclear RNA export factor 1/2 [Source:VB Community Annotation]
AGAP010426	0.109	0.987	0.287	0.922	0.059	0.955	0.914	0.873	0.459	0.105	0.927	0.192	0.684	0.839	0.191	0.901	0.064	0.044	0.039	0.733	0.385	0.13	0.555	0	0.04	0.001	0.016	0	""	general transcription factor 3C polypeptide 3 (transcription factor C subunit [Source:VB Community Annotation]
AGAP028453	0.109	0.219	0.539	0.002	0.003	0.164	0.354	0.544	0.468	0.202	0.119	0	0	0.089	0.051	0	0.001	0.026	0	0.001	0.001	0.115	0.663	0.994	0.403	0.8	0.829	0.495	""	""
AGAP002344	0.109	0.782	0	0.006	0.391	0.872	0.119	0.665	0.683	0.577	0.002	0.206	0	0.145	0	0.326	0.011	0.333	0.394	0.217	0.745	0.186	0.337	0.038	0.609	0.552	0.431	0.918	""	brain tumor protein [Source:VB Community Annotation]
AGAP001187	0.109	0.782	0	0	0.22	0.865	0.482	0.824	0.683	0.046	0.935	0.036	0.997	0.011	0.845	0.444	0.842	0.403	0.003	0.003	0.001	0.503	0.624	0.028	0.368	0.108	0.151	0.718	""	Homeobox protein cut-like [Source:UniProtKB/TrEMBL;Acc:Q380C3]
AGAP009347	0.109	0.224	0.191	0	0	0.988	0.267	0.409	0.137	0.959	0	0.102	0	0.414	0	0.281	0.007	0.008	0.399	0.002	0.044	0.031	0.596	0.073	0.874	0.941	0.813	0.898	""	FK506-binding protein 4/5 [Source:VB Community Annotation]
AGAP000762	0.11	0.734	0.528	0.304	0.031	0.52	0.655	0.488	0.39	0.428	0.083	0.474	0.068	0.128	0.392	0.031	0.007	0.003	0.454	0.308	0.538	0.18	0.887	0.758	0.722	0.707	0.849	0.536	""	""
AGAP002889	0.11	0.166	0	0.804	0.957	0.521	0.769	0.239	0.481	0.017	0	0.014	0	0.001	0	0.752	0.136	0.939	0.235	0.575	0.008	0	0.337	0.004	0.186	0.001	0.031	0.128	""	NADH dehydrogenase (ubiquinone) 1 subcomplex unknown 2 [Source:VB Community Annotation]
AGAP002480	0.11	0.233	0.06	0.879	0.036	0.565	0.884	0.523	0.585	0.097	0.701	0.208	0.33	0.065	0.791	0.46	0.493	0.703	0.079	0.663	0.244	0.55	0.002	0.781	0.657	0.434	0.525	0.651	""	""
AGAP002814	0.11	0.745	0.142	0.18	0.755	0.366	0.25	0.3	0.045	0.79	0.761	0.599	0.604	0.462	0.439	0.506	0.951	0.08	0.364	0.299	0.525	0.548	0.851	0.955	0.888	0.561	0.433	0.569	""	""
AGAP007210	0.11	0.155	0.794	0.269	0.079	0.614	0.519	0.223	0.408	0	0	0	0	0	0	0.008	0.225	0	0.167	0.941	0.001	0.058	0.954	0.911	0.925	0.596	0.238	0.739	""	Tetraspanin [Source:UniProtKB/TrEMBL;Acc:Q7QJ21]
AGAP004208	0.11	0.049	0	0	0	0.718	0.171	0.731	0.236	0.568	0	0.998	0	0.946	0	0.516	0	0.256	0.024	0.819	0.001	0.208	0	0	0.219	0.049	0.057	0.099	""	""
AGAP011898	0.11	0.522	0.501	0.905	0.033	0.701	0.765	0.714	0.772	0.687	0.907	0.295	0.462	0.858	0.964	0.948	0.293	0	0.494	0.679	0.883	0.58	0.285	0.193	0.811	0.245	0.141	0.207	""	""
AGAP004739	0.11	0	0	0.216	0.786	0.078	0.007	0	0	0.997	0.867	0.812	0.598	0.26	0.149	0	0.981	0.577	0	0.015	0.026	0.074	0	0.044	0.974	0.885	0.939	0.927	""	H/ACA ribonucleoprotein complex subunit 4 [Source:VB Community Annotation]
AGAP005155	0.11	0.945	0.074	0.564	0.199	0.353	0.001	0.97	0.695	0.416	0.49	0.155	0.278	0.001	0.016	0.788	0.044	0.001	0.118	0.001	0.009	0.046	0.106	0.002	0.682	0.142	0.799	0.222	""	""
AGAP005903	0.11	0.026	0.019	0.145	0.832	0.97	0.055	0.278	0.003	0.959	0.395	0.551	0.089	0.173	0.014	0	0.291	0.001	0.026	0.017	0.025	0.838	0.426	0.491	0.844	0.775	0.527	0.887	""	""
AGAP008117	0.111	0.239	0.406	0.001	0	0.267	0.588	0.639	0.338	0.152	0.063	0.232	0.111	0.258	0.124	0.263	0	0.97	0.095	0.399	0.471	0.289	0.018	0.079	0.839	0.425	0.368	0.724	""	""
AGAP008952	0.111	0.599	0.006	0	0.179	0.12	0.176	0.044	0.009	0.827	0.056	0.14	0.546	0.023	0.765	0.478	0.478	0.881	0.506	0.984	0.432	0.947	0.013	0.525	0.103	0.697	0.956	0.809	""	lupus La protein [Source:VB Community Annotation]
AGAP001827	0.111	0.071	0.257	0.002	0.001	0.51	0.291	0.345	0.011	0	0.015	0	0.01	0	0.001	0.238	0.184	0	0	0.582	0.831	0.614	0	0.75	0.927	0.132	0.416	0.187	""	hypoxia up-regulated 1 [Source:VB Community Annotation]
AGAP001173	0.111	0.719	0.236	0.458	0.01	0.003	0.28	0.069	0.23	0.123	0.929	0.068	0.839	0.062	0.703	0.587	0.067	0.199	0.054	0.318	0.8	0.822	0.073	0.843	0.02	0.932	0.914	0.897	Gr52	gustatory receptor 52 [Source:VB Community Annotation]
AGAP002555	0.111	0.153	0.366	0.15	0.034	0.977	0.655	0.854	0.748	0.001	0.187	0.024	0.349	0.007	0.469	0.643	0.541	0.331	0.854	0.79	0.604	0.655	0.262	0.469	0.252	0.312	0.129	0.465	CYP325K1	cytochrome P450 [Source:VB Community Annotation]
AGAP006688	0.111	0.966	0.84	0.1	0.354	0.706	0.388	0.825	0.596	0.466	0.021	0.348	0.003	0.442	0.008	0.428	0.097	0.018	0.067	0.544	0.072	0.286	0.009	0	0.149	0.001	0.006	0	""	signal recognition particle receptor subunit beta [Source:VB Community Annotation]
AGAP009831	0.111	0.478	0	0.404	0.85	0.294	0.802	0.497	0.557	0.647	0.007	0.414	0	0.959	0.006	0.177	0.004	0	0.014	0.067	0.115	0.797	0.686	0	0.249	0	0	0	""	""
AGAP003364	0.111	0.531	0.009	0	0	0.311	0.688	0.835	0.766	0.84	0.371	0.868	0.415	0.218	0.608	0.011	0.153	0	0.092	0.39	0.243	0.379	0.354	0.001	0.014	0	0.008	0	""	""
AGAP029112	0.112	0.305	0	0.002	0.117	0.012	0.316	0.008	0.003	0.904	0.003	0.961	0	0.518	0.032	0.025	0.944	0.307	0.002	0.23	0.011	0.021	0.12	0.024	0.27	0.083	0.044	0.814	""	""
AGAP000475	0.112	0.596	0.467	0.273	0.968	0.744	0.27	0.619	0.981	0.026	0.408	0.402	0.738	0.317	0.856	0.046	0.013	0.011	0.12	0.497	0.493	0.495	0.501	0	0.003	0.001	0	0	""	""
AGAP001923	0.113	0.018	0.692	0	0.193	0.028	0.003	0.004	0.033	0.18	0.137	0.722	0.68	0.445	0.394	0	0.037	0.045	0.891	0.071	0.096	0.252	0	0.004	0.244	0.014	0.072	0.048	""	solute carrier family 38 (sodium-coupled neutral amino acid transporter) [Source:VB Community Annotation]
AGAP005584	0.113	0.99	0.111	0	0.06	0.519	0.063	0.023	0.087	0.727	0.503	0.599	0.46	0.935	0.891	0.455	0.625	0.293	0.444	0.193	0.466	0.839	0.354	0.644	0.934	0.974	0.978	0.987	""	protein fat-free homolog [Source:VB Community Annotation]
AGAP011962	0.113	0.001	0.213	0.131	0.013	0.713	0.437	0.847	0.467	0.275	0.472	0.093	0.734	0.502	0.291	0.251	0.233	0	0	0.029	0.009	0.698	0.001	0.043	0.668	0.499	0.867	0.818	""	""
AGAP011732	0.113	0.599	0.141	0.61	0.115	0.501	0.058	0.699	0.801	0.001	0.322	0.001	0.266	0.001	0.2	0.482	0.979	0.007	0.81	0.193	0.458	0.15	0.507	0.005	0.237	0.342	0.454	0.144	""	palmitoyltransferase ZDHHC17 [Source:VB Community Annotation]
AGAP001027	0.113	0.729	0.472	0.114	0.1	0.1	0.133	0.899	0.567	0.205	0.018	0.188	0.108	0.773	0.023	0.108	0.041	0	0.089	0.068	0.454	0.189	0	0.007	0.468	0.022	0.011	0.002	""	sugar transporter ERD6-like 7 [Source:VB Community Annotation]
AGAP001676	0.113	0.002	0.591	0.009	0.013	0.024	0.1			0.432	0	0.584	0	0.935	0	0	0	0.358	0	0.167	0	0	0.003	0		0.02	0	0.007	""	actin, cytoplasmic [Source:VB Community Annotation]
AGAP003533	0.113	0.375	0.023	0.355	0.403	0.639	0.448	0.027	0.002	0.781	0	0.643	0	0.519	0	0.721	0.362	0.009	0.212	0.463	0.889	0.116	0.002	0.375	0	0.009	0.021	0.151	""	DnaJ homolog subfamily C member 19 [Source:VB Community Annotation]
AGAP002339	0.113	0.948	0.914	0.008	0.043	0.924	0.868	0.548	0.108	0.986	0.919	0.302	0.258	0.114	0.058	0.31	0.013	0.032	0	0.233	0.004	0.866	0.001	0.011	0.488	0.002	0	0	""	AN1-type zinc finger protein 2B [Source:VB Community Annotation]
AGAP011622	0.113	0.075	0	0.425	0.739	0.639	0.258	0.554	0.927	0.004	0	0.055	0	0.112	0	0.004	0.052	0	0.75	0.381	0.994	0	0.029	0.381	0.749	0.632	0.688	0.585	""	Retina aberrant in pattern [Source:VB Community Annotation]
AGAP007477	0.114	0	0.006	0.055	0.006	0.478	0.802	0.962	0.468	0.436	0.058	0.817	0.006	0.428	0.047	0.617	0.609	0.012	0.255	0.727	0.316	0.159	0	0.07	0.073	0.155	0.097	0.181	""	replication factor C subunit 2/4 [Source:VB Community Annotation]
AGAP002943	0.114	0.007	0.718	0.344	0.772	0.945	0.24	0	0	0.843	0.112	0.536	0.874	0.583	0.841	0.023	0.705	0	0.141	0.029	0.849	0	0	0.319	0.042	0.04	0.857	0.866	""	NAD-dependent deacetylase sirtuin 2 [Source:VB Community Annotation]
AGAP006926	0.114	0.078	0.012	0.569	0.658	0.141	0.061	0.001	0	0.001	0.117	0	0	0	0.002	0.307	0.004	0	0.057	0.851	0.116	0.074	0.587	0.998		0.144	0.836	0.393	AD28229	""
AGAP010336	0.114	0.215	0.128	0.301	0.09	0	0.041	0.039	0	0.053	0.191	0.073	0.171	0.099	0.276	0.011	0.011	0.003	0.387	0.728	0.02	0	0.965	0.035	0.072	0.043	0.078	0	""	tubulin polyglutamylase TTLL1 [Source:VB Community Annotation]
AGAP005466	0.114	0.458	0.476	0.026	0.121	0.778	0.181	0.155	0.623	0.809	0.712	0.91	0.954	0.641	0.643	0.079	0.96	0.119	0.728	0.839	0.962	0.901	0.842	0.041	0.637	0.771	0.962	0.532	IR75l	ionotropic receptor IR75l [Source:VB Community Annotation]
AGAP010170	0.114	0.592	0	0	0	0.851	0.003	0.148	0.011	0.431	0.059	0.2	0.011	0.23	0.044	0.002	0.56	0.081	0.001	0.004	0.006	0.521	0.589	0.295	0.658	0.792	0.934	0.922	""	""
AGAP006536	0.114	0.108	0.668	0.282	0.265	0.886	0.262	0.155	0.025	0.784	0.217	0.393	0.054	0.124	0.014	0.011	0.321	0	0.24	0.422	0.897	0.945	0.44	0.177	0.408	0.699	0.86	0.308	""	Arrowhead [Source:VB Community Annotation]
AGAP001976	0.114	0.003	0.026	0.927	0.014	0.852	0.003	0.659	0.979	0.582	0.591	0.524	0.611	0.698	0.736	0.388	0.3	0.666	0.133	0.354	0.846	0.025	0.008	0	0.053	0.097	0.07	0.269	""	Archease [Source:VB Community Annotation]
