GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	GeneName	GeneDescription
AGAP008558	0.106	0.007	0.565	0.238	0.936	0.275	0.088	0.133	0.246	0.387	0	0.167	0.001	0.199	0	0.85	0.062	0.352	0.068	0.107	0.101	0.123	0.654	0.302	0.699	""	""
AGAP003069	0.106	0.007	0.143	0.005	0.057	0.553	0.433	0.936	0.03	0	0.38	0	0.471	0	0.563	0.001	0.983	0.966	0.314	0.696	0.425	0.993	0.201	0.049	0.158	""	signal peptidase, endoplasmic reticulum-type [Source:VB Community Annotation]
AGAP000119	0.106	0.469	0.026	0.101	0.068	0.605	0.575	0.876	0.632	0.087	0.495	0.618	0.223	0.994	0.271	0.869	0.08	0.93	0.384	0.875	0.863	0.765	0.086	0.265	0.009	""	golgi to ER traffic protein 4 homolog [Source:VB Community Annotation]
AGAP007269	0.107	0.752	0.244	0.386	0.318	0.662	0.235	0.261	0.124	0.538	0.678		0.775	0.274	0.74	0.288	0.405		0.23	0.13	0.037	0.08	0.002	0.073	0.762	""	""
AGAP009128	0.107	0	0.978	0.276	0.591	0.87	0	0	0	0	0.245	0.149	0.008	0.648	0.168	0.237	0.545	0.864	0.138	0.082	0.522	0.386	0.121	0.709	0	""	mitochondrial carnitine/acylcarnitine carrier protein [Source:VB Community Annotation]
AGAP005330	0.107	0.647	0.092	0.007	0.056	0.93	0.002	0.767	0.159	0.725	0.961	0.92	0.169	0.168	0.345	0.345	0.341	0.243	0.125	0.199	0.126	0.009	0.193	0.084	0.249	Oseg2	outer segment 2 [Source:VB Community Annotation]
AGAP000149	0.107	0.108	0.32	0.025	0.023	0	0.01	0.001	0.035	0.091	0.315	0.134	0.095	0.05	0.018	0.015	0.003	0.032	0.019	0.005	0.101	0.36	0.02	0.42	0.525	""	Ras association domain-containing protein 2/4 [Source:VB Community Annotation]
AGAP009924	0.108	0	0.001	0	0.962	0	0.275	0.06	0.006	0							0.097	0.651	0.002	0.006	0.001	0.035	0.85	0.041	0.841	""	""
AGAP002043	0.108	0.126	0.978	0.029	0.986	0.003	0	0.82	0.003	0	0	0	0	0	0	0	0.481	0.812	0.202	0.061	0.07	0.006	0.001	0.039	0.001	""	""
AGAP012032	0.108	0.006	0.406	0.071	0	0.002	0.046	0.032	0	0	0	0	0.178	0.001	0.069	0	0.904	0.495	0.51	0.23	0.557	0.678	0.601	0.972	0	""	""
AGAP008557	0.108	0	0.003	0.014	0.991	0	0.681	0	0	0	0.059	0.002	0.99	0.483	0.905	0.115	0.459	0.741	0.424	0.904	0.778	0.007	0.015	0.194	0.002	""	AMP-binding domain protein [Source:VB Community Annotation]
AGAP002594	0.108	0.176	0.014	0.932	0.274	0.203	0.001	0.001	0.012	0.289	0	0	0	0.002	0	0	0	0.007	0	0.005	0	0.132	0.862	0.999	0.049	""	apolipoprotein D [Source:VB Community Annotation]
AGAP006944	0.108	0.006	0.013	0.001	0.656	0.467	0.681	0.015	0.512	0.209	0.426	0.731	0.09	0.521	0.201	0.458	0	0.224	0.473	0.063	0.025	0.018	0.557	0.003	0.105	eIF3e	Eukaryotic translation initiation factor 3 subunit E [Source:UniProtKB/Swiss-Prot;Acc:Q7QIL8]
AGAP002876	0.108	0.001	0.356	0.1	0.002	0.87	0.584	0.22	0.93	0.677	0.268	0.151	0.394	0.217	0.952	0.685	0.95	0.743	0.938	0.646	0.411	0.044	0.893	0.243	0.75	""	single-strand selective monofunctional uracil DNA glycosylase [Source:VB Community Annotation]
AGAP006501	0.108	0	0.063	0.621	0.051	0.001	0.025	0	0	0	0.004	0.008	0.001	0.001	0.001	0.002	0.323	0.782	0.889	0.488	0.936	0.022	0.091	0.029	0	""	""
AGAP011159	0.108	0.242	0.695	0	0.838	0.029	0.201	0.467	0.454	0.409	0.01	0	0.02	0	0.015	0	0	0.005	0.181	0.151	0.3	0.226	0.385	0.009	0	CoVa	cytochrome c oxidase subunit Va [Source:VB Community Annotation]
AGAP004684	0.109	0.009	0.001	0	0	0.049	0.618	0.425	0.901	0.842	0.026	0.918	0.439	0.826	0.119	0.868	0.023	0.754	0.89	0.823	0.864	0.03	0.076	0.063	0.945	""	rRNA-processing protein CGR1 [Source:VB Community Annotation]
AGAP007545	0.109	0.026	0.108	0	0.363	0.948	0.669	0.378	0.574	0.458	0.031	0.191	0.555	0.002	0.101	0.073	0	0.196	0	0.001	0	0	0.586	0.018	0.176	""	Contactin associated protein-like 2 [Source:VB Community Annotation]
AGAP006410	0.109	0.004	0.261	0.746	0.173	0.007	0.852	0	0	0	0.002	0.121	0.012	0.212	0.429	0.013	0	0.041	0	0	0	0.415	0.265	0.461	0	""	""
AGAP000118	0.109	0.418	0.714	0.013	0.114	0.081	0.001	0.006	0	0				0.726			0.008	0.006	0.05	0	0.039	0.032	0.751	0.067	0.447	""	ubiquinone biosynthesis monooxygenase Coq7 [Source:VB Community Annotation]
AGAP003532	0.109	0.034	0.011	0	0.72	0.677	0.471	0.463	0.105	0.045	0.473	0.918	0.415	0.88	0.683	0.752	0.014	0.429	0.372	0.963	0.808	0	0.001	0	0.021	RpS3a	40S ribosomal protein S3a [Source:UniProtKB/Swiss-Prot;Acc:P52813]
AGAP008208	0.109	0.137	0.978	0.837	0.339	0.95	0	0	0	0	0.118	0.632	0.611	0.167	0.566	0.192	0.005	0.088	0.176	0.486	0.108	0	0	0	0.001	CYP6Y1	cytochrome P450 [Source:VB Community Annotation]
AGAP007718	0.109	0.95	0.669	0.39	0	0.011	0.644	0.06	0.119	0.082	0.929	0	0.55	0.009	0.008	0	0.221	0.241	0.155	0.292	0.34	0.089	0.744	0.403	0.114	""	""
AGAP000841	0.11	0.534	0.915	0.001	0.789	0.2	0.275	0.083	0.377	0.374	0.104	0.309	0.005	0.112	0.003	0.076	0.605	0.203	0.573	0.066	0.41	0.343	0.795	0.932	0.702	""	Ras-related protein Rab-40 [Source:VB Community Annotation]
AGAP000668	0.11	0.004	0.004	0.563	0.735	0.011	0.307	0	0.803	0.677	0.063	0.35	0.045	0.331	0.001	0.1	0.327	0.959	0.768	0.979	0.47	0.077	0.144	0.005	0.329	""	bromodomain adjacent to zinc finger domain protein 1A [Source:VB Community Annotation]
AGAP006708	0.11	0.678	0.999	0.302	0.274	0.382	0.874	0.905	0.538	0.595	0.783		0.52	0.189			0.367		0.375	0.161	0.262	0.786	0.265	0.152	0.076	""	Ninjurin a [Source:VB Community Annotation]
AGAP002024	0.11	0.608	0.027	0.61	0.001	0	0.213	0.15	0.89	0.906	0.017	0.439	0.146	0.974	0.003	0.226	0.138	0.595	0.179	0.327	0.785	0.526	0.346	0.631	0.557	""	""
AGAP002011	0.11	0.986	0.339	0	0	0.022	0.027	0.075	0	0	0	0.189	0	0.005			0.365	0.649	0.194	0.828	0.063	0.265	0.996	0.112	0.821	""	ammonium transporter Rh [Source:VB Community Annotation]
AGAP007422	0.11	0.044	0.049	0.71	0.521	0.876	0.98	0.465	0.37	0.569	0	0.01	0.014	0.123	0	0.021	0.061	0.329	0.782	0.995	0.493	0.644	0.228	0.811	0.166	""	""
AGAP008623	0.11	0.773	0.123	0.393	0.276	0.025	0.86	0.664	0.058	0.088	0.725	0.303	0.983	0.144	0.224	0.92	0.769	0.877	0.646	0.961	0.696	0.014	0.02	0.413	0.67	""	""
AGAP002392	0.111	0.487	0.109	0.01	0.933	0.344	0.873	0.54	0.1	0.054	0.171	0.144	0.621	0.703	0.175	0.16	0.28	0.977	0.988	0.899	0.802	0.075	0.043	0.413	0.108	""	TBC1 domain family, member 7 [Source:VB Community Annotation]
AGAP028557	0.111	0.184	0.083	0.477	0.009	0.045	0.004	0.938	0.12	0.695	0.766	0.031	0.993	0.029	0.642		0.143	0.789	0.511	0.584	0.738	0.024	0.427	0.893	0.813	""	""
AGAP003016	0.111	0.964	0.253	0.418	0.009	0.722	0.989	0.833	0.775	0.062	0.051	0	0.014	0	0.308	0.001	0.21	0.396	0.813	0.901	0.864	0	0.755	0.61	0.93	""	mesencephalic astrocyte-derived neurotrophic factor homolog [Source:VB Community Annotation]
AGAP004605	0.111	0.007	0.744	0.022	0.186	0.493	0.614	0.764	0.444	0.206	0.851	0.02	0.879	0.011	0.499	0.164	0	0.034	0	0.001	0.004	0.001	0.829	0.851	0.655	""	zinc finger protein 830 [Source:VB Community Annotation]
AGAP007804	0.111	0.841	0.012	0.908	0.051	0.41	0.356	0.287	0.256	0.077	0.93	0.901	0.94	0.894	0.687	0.668	0.24	0.521	0.83	0.523	0.416	0.042	0.417	0.285	0.016	""	""
AGAP000520	0.112	0.125	0.398	0	0.216	0.001	0.262	0.015	0.901	0.601	0.676	0.112	0.22	0.019	0.572	0.111	0	0.182	0	0	0	0.182	0.118	0.592	0.559	""	""
AGAP001827	0.112	0	0.265	0.057	0.017	0.001	0.34	0.161	0.122	0.001	0	0.01	0	0.007	0	0.001	0	0.013	0	0.013	0	0	0.552	0.428	0.778	""	hypoxia up-regulated 1 [Source:VB Community Annotation]
AGAP011945	0.112	0.065	0.05	0.636	0.016	0	0.545	0.957	0.276	0.17	0	0	0	0	0	0	0.039	0.595	0.827	0.807	0.979	0.833	0.652	0.029	0	""	""
AGAP001211	0.112	0.854	0.62	0.001	0.329	0.024	0.24	0.573	0.1	0.133	0.032	0.832	0.168	0.742	0.388	0.175	0	0	0	0	0	0	0	0	0.397	""	Ras-related protein Rab-8A [Source:VB Community Annotation]
AGAP000539	0.112	0.948	0.34	0.603	0.444	0	0.021	0.005	0.008	0	0.304	0.867	0.051	0.644	0.22	0.962	0.739	0.959	0.243	0.238	0.302	0.889		0.983		""	""
AGAP011191	0.112	0.537	0.042	0.28	0.594	0.915	0.895	0.865		0.942	0.269	0.325	0.82	0.88	0.575	0.63	0.078	0.038	0.159	0.703	0.563	0.544	0.656	0.396	0.088	""	""
AGAP012590	0.112	0.121	0.283	0.467	0	0	0.221	0.661	0.002	0	0.005	0.489	0.064	0.44	0.712	0.702	0.609	0.77	0.799	0.805	0.931	0	0.007	0	0.279	""	MutT domain protein-like protein [Source:VB Community Annotation]
AGAP001892	0.112	0	0.357	0.908	0	0.285	0.053	0.58	0.05	0.009	0.733	0.396	0.337	0.845	0.161	0.785	0.233	0.622	0.024	0.25	0.076	0.045	0.356	0.668	0	""	arrestin domain-containing protein 3 [Source:VB Community Annotation]
AGAP002967	0.112	0.424	0.009	0.087	0.051	0.951	0.648	0.748	0.195	0.684	0.872	0.297	0.088	0.015	0	0	0.415	0.204	0.071	0.059	0.085	0.977	0.432	0.957	0.037	""	bloom syndrome protein [Source:VB Community Annotation]
AGAP000163	0.112	0.755	0.211	0.107	0.782	0.019	0.472	0.106	0.001	0	0	0	0	0	0	0	0.004	0.379	0.093	0.047	0.234	0.091	0.752	0.004	0.458	GSTMS2	glutathione transferase microsomal 2 [Source:VB Community Annotation]
AGAP005934	0.112	0.327	0.022	0.001	0.954	0.661	0.952	0.761	0.034	0.559	0.816	0.577	0.257	0.632	0.103	0.232	0.36	0.164	0.166	0.849	0.126	0.001	0.158	0.116	0.166	""	Tumor susceptibility 101 protein [Source:VB Community Annotation]
AGAP028171	0.112	0.191	0.188	0.55	0.785	0.759	0.731	0.227	0.001	0.053	0.208	0.088	0.244	0.126	0.136	0.058	0	0.034	0	0.002	0	0.189	0.297	0.64	0.121	""	""
AGAP002300	0.113	0.952	0.016	0	0.614	0.827	0.724	0.668	0.861	0.095	0.002	0.238	0.179	0.982	0.421	0.934	0.004	0.136	0.123	0.251	0.057	0.785	0	0.5	0.277	""	exosome complex exonuclease [Source:VB Community Annotation]
AGAP004297	0.113	0.146	0.139	0.002	0.33	0	0.057	0	0	0.004	0.001	0.054	0.003	0.151	0	0	0.431	0.731	0.616	0.592	0.92	0.174	0.177	0.019	0.866	""	""
AGAP005814	0.113	0.889	0	0.669	0.644	0.317	0.218	0.24	0.878	0.904	0.004	0.002	0.015	0.022	0.015	0.033	0.637	0.594	0.46	0.931	0.803	0.874	0.726	0.815	0.193	""	ecdysoneless homolog [Source:VB Community Annotation]
AGAP011503	0.113	0	0.919	0.062	0.145	0	0.004	0	0	0	0	0.344	0.013	0.913	0.002	0.675	0.658	0.295	0.116	0.051	0.104	0	0.061	0.001	0.001	""	""
AGAP002754	0.113	0.156	0.001	0.017	0.016	0.61	0.228	0.829	0.011	0.006	0.201	0.281	0.036	0.786	0.069	0.73	0.001	0.315	0.777	0.757	0.647	0.107	0.213	0.845	0.65	RpL35a	60S ribosomal protein L35a [Source:VB Community Annotation]
AGAP006617	0.113	0.849	0.106	0.476	0.158	0.539	0.794	0.495	0.442	0.42	0.891	0.338	0.567	0.795	0.488	0.969	0.055	0.05	0.031	0.014	0.206	0.059	0.117	0.085	0.356	""	Armadillo repeat-containing protein 6 [Source:VB Community Annotation]
AGAP001464	0.113	0	0	0.821	0.921	0.234	0.096	0.017	0.084	0.096	0	0.016	0.014	0.195	0	0.01	0.833	0.98	0.976	0.875	0.842	0.126	0.646	0.528	0.847	""	cyclic AMP-responsive element-binding protein 3 [Source:VB Community Annotation]
AGAP010932	0.114	0	0	0.003	0.037	0.026	0.48	0.441	0.242	0.313	0.364	0.705	0.256	0.817	0.105	0.708	0.764	0.853	0.486	0.435	0.815	0.02	0.568	0.006	0	""	""
AGAP000762	0.114	0.975	0.478	0.366	0.464	0.022	0.378	0.368	0.239	0.223	0.377	0.055	0.439	0.07	0.103	0.353	0.632	0.919	0.636	0.76	0.696	0.317	0.258	0.277	0.141	""	""
AGAP001897	0.114	0.948	0.339	0.547	0	0.056	0.02	0.368	0.486	0.81	0.027	0.001	0	0	0.004	0	0.814	0.781	0.852	0.738	0.445	0.715	0.416	0.933	0	""	centromere protein J [Source:VB Community Annotation]
AGAP004425	0.114	0.002	0.637	0.231	0.076	0.444	0.26	0.154	0.097	0.047	0.825	0.022	0.55	0.023	0.098	0.235	0.001	0.459	0.472	0.03	0.067	0	0	0.023	0.036	""	Dephospho-CoA kinase domain-containing protein [Source:VB Community Annotation]
AGAP000549	0.114	0.71	0.435	0.018	0.025	0	0.533	0.004	0.011	0.054	0.766	0.053	0.934	0	0.499	0.335	0.557	0.666	0.861	0.521	0.653	0.306	0.189	0.428	0.832	""	2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [Source:VB Community Annotation]
AGAP000551	0.114	0.681	0.151	0.053	0	0.654	0.01	0.958	0.006	0	0.41	0.308	0.721	0.016	0.912	0.042	0.748	0.284	0.96	0.887	0.842	0.684	0.473	0.871	0.014	""	2-oxoglutarate dehydrogenase E1 component DHKTD1 [Source:VB Community Annotation]
AGAP011815	0.114	0	0.854	0.371	0.922	0	0.152	0.243	0	0	0.013	0.125	0.024	0.056	0.026	0.082	0.206	0.244	0.043	0.138	0.044	0.161	0.499	0.668	0.246	""	""
AGAP011331	0.114	0.223	0.135	0.075	0.114	0.006	0.871	0.792	0.709	0.285	0.273	0.408	0.08	0.932	0.085	0.974	0.169	0.457	0.422	0.254	0.335	0.422	0.388	0.31	0.949	""	""
AGAP000198	0.115	0	0.918	0.185	0.124	0	0.617	0	0	0	0.887	0.031	0.289	0	0.57	0.006	0.392	0.808	0.915	0.695	0.431	0	0.002	0	0.568	Cht5-5	chitinase [Source:VB Community Annotation]
AGAP003831	0.115	0.366	0.372	0.226	0	0.11	0	0.154	0.916	0.435	0.147	0	0.244	0	0.074	0	0.906	0.606	0.129	0.561	0.123	0.352	0.096	0.908	0	""	""
AGAP003296	0.115	0.147	0.875	0	0.316	0.691	0.642	0.033	0	0	0.555	0	0.062	0	0.368	0	0	0.126	0.003	0.149	0	0.215	0.036	0.244	0	""	LETM1 and EF-hand domain-containing protein 1, mitochondrial precursor [Source:VB Community Annotation]
AGAP002509	0.115	0.512	0.48	0.015	0.136	0.806	0.504	0.128	0.827	0.836	0.748	0.046	0.629	0.003	0.597	0.072	0.657	0.032	0.065	0.924	0.471	0	0.258	0.84	0.04	""	""
AGAP008658	0.115	0	0.793	0.038	0.008	0.141	0.934	0.409	0.018	0	0.009	0.571	0.037	0.675	0.071	0.707	0	0.482	0.024	0.906	0.808	0.026	0.485	0.126	0.007	""	""
AGAP009100	0.115	0.135	0	0.619	0.07	0.275	0.057	0.071	0.069	0.001	0.275	0.55	0.439	0.085	0.084	0.636	0	0.073	0	0	0	0	0.049	0	0.911	""	Protein-glutamine gamma-glutamyltransferase E [Source:VB Community Annotation]
AGAP008785	0.116	0.255	0.003	0.973	0.192	0.806	0.7	0.848	0.983	0.901	0.033	0.005	0.014	0.003	0.068	0.028	0.039	0.815	0.095	0.076	0.404	0.017	0	0.381	0.076	""	Ras suppressor protein 1 [Source:VB Community Annotation]
AGAP004211	0.116	0.377	0	0	0.242	0.467	0.903	0.076	0.793	0.553	0.013	0	0.019	0	0.007	0	0.121	0.623	0.092	0.443	0.967	0.004	0.901	0.977	0.561	""	""
AGAP029195	0.116	0.865	0	0.396	0.219	0.084	0.008	0.464	0.006	0.001	0.527	0.363	0.456	0.457	0.197	0.456	0.542	0.296	0.405	0.044	0.257	0.713	0.842	0.311	0.827	""	""
AGAP011661	0.116	0.948	0.978	0	0	0.772	0.873	0.684	0.543	0.594	0.053	0.002	0.178	0.01	0.008	0	0	0.095	0.133	0.419	0.092	0.1	0.945	0.823	0.046	""	lysine-specific histone demethylase 1 [Source:VB Community Annotation]
AGAP005146	0.117	0.541	0.965		0.773	0.595	0.895	0.7		0.874							0.995	0.984	0.249	0.138	0.269	0.232	0.041	0.293	0.58	""	""
AGAP007613	0.117	0.001	0.908	0	0	0.004	0.309	0.757	0.886	0.677	0.087	0.002	0.068	0.011	0.217	0.001	0.002	0.137	0.187	0.506	0.01	0.379	0.99	0.862	0.036	""	""
AGAP006998	0.117	0.014	0.001	0	0	0.001	0.144	0.977	0.426	0.583	0.08	0.004	0.069	0.001	0.492	0	0.172	0.252	0.142	0.173	0.228	0.012	0.742	0.134	0.176	""	cohesin complex subunit SA-1/2 [Source:VB Community Annotation]
AGAP009259	0.117	0.885	0.91	0.006	0.098	0.152	0.692	0.888	0.706	0.75	0.288	0.498	0.607	0.839	0.718	0.888	0.696	0.238	0.408	0.754	0.745	0.115	0.671	0.337	0.563	""	lysophospholipid acyltransferase 7 [Source:VB Community Annotation]
AGAP001136	0.117	0.466	0.681	0.685	0.114	0.625	0.731	0.902	0.775	0.486	0.406	0.054	0.289	0.039	0.086	0.008	0.04	0.33	0.781	0.34	0.272	0.628	0.46	0.854	0.096	""	tetratricopeptide repeat protein 35 [Source:VB Community Annotation]
AGAP001462	0.117	0.997	0.919	0.29	0.421	0.154	0.266	0.304	0.998	0.721	0.627	0.089	0.503	0.901	0.812	0.55	0.243	0.644	0.184	0.254	0.092	0.604	0.413	0.195	0.181	""	""
AGAP004454	0.118	0.837	0.984	0.455	0.187	0	0.816	0.55	0.512	0.255	0.067	0.065	0.002	0.001	0.001	0.001	0.82		0.631	0.397	0.479	0.203	0.77	0.062	0.475	""	""
AGAP007644	0.119	0	0.583	0	0.016	0	0.973	0.715	0.028	0.254	0.136	0.041	0.55	0.001	0.583	0	0	0.006	0.001	0.001	0	0.47	0.968	0.012	0.282	""	mRNA turnover protein 4 [Source:VB Community Annotation]
AGAP000982	0.119	0.387	0.846	0.003	0.347	0.017	0.173	0.199	0.24	0.1	0.258	0.309	0.127	0.208	0.061	0.149	0.012	0.488	0.806	0.2	0.336	0.003	0.142	0.003	0.242	""	uncharacterized protein Enpp4 [Source:VB Community Annotation]
AGAP001958	0.119	0.351	0.783	0.054	0.114	0.033	0.147	0.981	0.196	0.555	0.484	0.08	0.71	0.026	0.895	0.052	0.804	0.665	0.149	0.994	0.494	0	0.302	0	0.948	CRY1	cryptochrome 1 [Source:VB Community Annotation]
AGAP002081	0.119	0.154	0.018	0.157	0.084	0.587	0.136	0.511	0.919	0.804	0.292	0.335	0.77	0.813	0.351	0.389	0.399	0.282	0.634	0.931	0.597	0.008	0.477	0.103	0.094	""	""
AGAP003611	0.119	0.156	0.836	0.199	0.014	0.608	0.979	0.927	0.002	0.009	0.532	0.128	0.502	0.13	0.562	0.108	0	0.965	0.556	0.789	0.144	0.019	0.263	0.581	0.001	""	Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q7QAN3]
AGAP000576	0.119	0.04	0.004	0.171	0.122	0.404	0.007	0	0.272	0.116	0.001	0.544	0.05	0.935	0.012	0.901	0	0.203	0.858	0.381	0.751	0.01	0.071	0	0.596	""	""
AGAP010164	0.119	0.006	0.546	0.078	0	0	0.066	0.011	0.289	0.211	0.437	0.479	0.94	0.171	0.156	0.758	0.799	0.812	0.701	0.835	0.548	0.189	0.327	0.278	0.225	whd	protein withered, carnitine O-palmitoyltransferase [Source:VB Community Annotation]
AGAP011523	0.119	0.351	0.009	0.671	0.001	0.003	0.98	0.939	0.35	0.322	0.168	0.001	0.154	0.001	0.078	0	0.034	0.691	0.766	0.543	0.264	0.14	0.224	0.383	0.171	""	""
AGAP000079	0.119	0.063	0.011	0.046	0.637	0.365	0.466	0.586	0.762	0.108	0.036	0	0.015	0	0.008	0	0	0.161	0	0.08	0	0.36	0.532	0.272	0	""	""
AGAP002194	0.119	0.17	0.01	0.686	0.085	0	0.145	0.015	0.378	0	0.419	0.447	0.041	0.783	0.657	0.1	0.002	0.467	0	0.048	0	0.464	0.295	0.03	0.023	""	1D-myo-inositol-triphosphate 3-kinase [Source:VB Community Annotation]
AGAP004753	0.119	0.784	0.06	0.234	0.001	0.001	0.895	0.958	0.733	0.736	0.457	0.173	0.576	0.086	0.67	0.026	0.02	0.574	0.075	0.052	0.275	0.958	0.631	0.748	0.124	""	""
AGAP006423	0.12	0.19	0.574	0.052	0.829	0.181	0.767	0.342	0.21	0.992	0.187	0	0.215	0	0.446	0	0.339	0.335	0.331	0.451	0.928	0.081	0	0	0.832	""	cyanogenic beta-glucosidase [Source:VB Community Annotation]
AGAP004083	0.12	0.002	0.522	0.646	0.824	0.645	0.2	0.096	0.398	0.237	0.501	0.532	0.73	0.022	0.786	0.057	0.004	0.042	0	0.008	0.047	0.03	0.973	0.157	0.239	""	""
AGAP011202	0.12	0.083	0.002	0.171	0.464	0.512	0.001	0.003	0	0	0.094	0.404	0	0.007	0	0.011	0	0.066	0	0.055	0.01	0.294	0.265	0.076	0.303	""	""
AGAP006826	0.12	0.698	0.216	0.013	0.004	0	0.776	0.771	0.451	0.01	0.45	0.085	0.009	0.356	0.233	0.148	0	0.583	0.039	0.589	0.022	0	0.001	0	0.823	""	Integrin alpha-ps [Source:VB Community Annotation]
AGAP011948	0.12	0.003	0.207	0.316	0.786	0.613	0.928	0	0.236	0.216	0.477	0.622	0.195	0.866	0.212	0.999	0.302	0.354	0.456	0.21	0.763	0.003	0.193	0	0.938	""	threonine 3-dehydrogenase [Source:VB Community Annotation]
AGAP009674	0.12	0.256	0.533	0.128	0.524	0.479	0.779	0.856	0.343	0.072	0.899	0.085	0.852	0.135	0.41	0.823	0.758	0.72	0.899	0.632	0.91	0.031	0.151	0.274	0.431	""	CCR4-NOT transcription complex subunit 10 [Source:VB Community Annotation]
AGAP004546	0.121	0.715	0.186	0.001	0.673	0.621	0.836	0.732	0.417	0.709	0.915	0.003	0.581	0.001	0.664	0.002	0.137	0.338	0.333	0.408	0.214	0.258	0.73	0.015	0.252	""	RNA-binding protein 25 [Source:VB Community Annotation]
AGAP000929	0.121	0.893	0.148	0.201	0.859	0.028	0.953	0.071	0	0	0.884	0.045	0.104	0.001	0.035	0	0.231	0.476	0.651	0.956	0.836	0.002	0.1	0	0.041	CTLSE1	C-type lectin (CTL) - selectin like [Source:VB Community Annotation]
AGAP028676	0.121	0.034	0.342	0.011	0.01	0.001	0.564	0.886	0.767	0.814	0.837	0.032	0.299	0.001	0.436	0.013	0	0.084	0.098	0.012	0.071	0.015	0.209	0	0.226	""	""
AGAP007076	0.121	0.156	0.022	0.055	0.873	0	0.022	0	0.001	0.011	0.024	0.445	0.003	0.188	0.027	0.829	0.625	0.566	0.1	0.172	0.087	0.028	0.665	0.126	0.012	""	""
AGAP000949	0.121	0.148	0.349	0.644	0.514	0.498	0.688	0.597	0.083	0.028	0.712	0.018	0.121	0.09	0.022	0.794	0.472	0.514	0.834	0.915	0.974	0.13	0.774	0.627	0.257	""	transmembrane emp24 domain-containing protein 3 precursor [Source:VB Community Annotation]
AGAP008885	0.122	0.745	0	0.156	0	0.566	0.56	0.812	0.909	0.443	0.778	0.27	0.425	0.042	0.469	0.071	0.583	0.683	0.979	0.828	0.748	0.883	0.002	0.913	0.09	""	parafibromin [Source:VB Community Annotation]
AGAP000588	0.122	0.988	0.358	0.857	0.967	0.029	0.343	0.001	0.762	0.978	0.21	0.021	0.305	0.031	0.047	0.005	0.019	0.129	0.108	0.068	0.128	0.573	0.992	0.27	0.962	""	""
AGAP002345	0.122	0.223	0.076	0	0.515	0.512	0.676	0.794	0.726	0.883	0.237	0.014	0.069	0.001	0.018	0.027	0.02	0.177	0.021	0.031	0.051	0.082	0.954	0.153	0.073	""	anaphase-promoting complex subunit 4 [Source:VB Community Annotation]
AGAP002284	0.122	0.821	0.058	0	0.002	0.134	0.786	0.927	0.375	0.469	0.09	0.63	0.001	0.169	0	0.048	0.799	0.643	0.718	0.827	0.801	0.71	0.453	0.745	0.743	""	peptide alpha-N-acetyltransferase [Source:VB Community Annotation]
AGAP004841	0.123	0.247	0.479	0.32	0.729	0.013	0.221	0.026	0.693	0.487	0.017	0.001	0.123	0.011	0.055	0.006	0.945	0.597	0.599	0.831	0.469	0.043	0.691	0.239	0.05	""	""
AGAP003141	0.123	0.177	0.877	0.833	0.265	0.001	0.86	0.948	0.801	0.404	0	0.755	0	0.437	0	0.78	0.002	0.014	0	0.003	0	0	0.913	0.648	0.217	""	Insulin-related peptide binding protein [Source:VB Community Annotation]
AGAP006258	0.123	0.012	0.588	0.177	0.816	0.962	0.127	0.606	0.001	0	0.543	0.002	0.734	0.02	0.509	0	0.339	0.646	0.096	0.224	0.079	0.574	0.898	0.31	0.447	PPO2	prophenoloxidase 2 [Source:VB Community Annotation]
AGAP007700	0.123	0.135	0.015	0.29	0	0.004	0.001	0.032	0	0	0	0	0	0	0.005	0.013	0.073	0.722	0.369	0.531	0.831	0.471	0.016	0.954	0.02	""	N-acetylneuraminate lyase [Source:VB Community Annotation]
AGAP010171	0.123	0.164	0.883	0.039	0	0.112	0.501	0.001	0	0.001	0.062	0.363	0.005	0.604	0.001	0.889	0	0.036	0	0.001	0	0.001	0.003	0.02	0.165	papi	TUDOR-domain protein [Source:VB Community Annotation]
AGAP028649	0.123	0	0.353	0	0.564	0.559	0.189	0.728	0.058	0.164	0.953	0.21	0.984	0.216	0.587	0.051	0.723	0.049	0.001	0.144	0.001	0.003	0.003	0.001	0	""	""
