GeneID	GeneName	GeneDescription	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AGAP001092			0.13	0.3	0.23	-0.03	0.0	-0.11	-0.19	-0.18	-0.1	0.55	0.25	0.19	-0.12	0.19	-0.11	-0.21	-0.2	-0.18	0.5	0.63	0.67	0.28	-0.17	0.21	0.14	0.12	0.14	0.08
AGAP007474		Talin-1 [Source:VB Community Annotation]	-0.11	0.01	-0.34	-0.09	0.14	0.17	0.53	0.17	-0.05	-0.65	-0.18	-0.36	0.09	-0.65	-0.17	0.12	0.27	-0.15	0.19	-0.02	0.26	0.03	0.49	-0.46	-0.2	-0.23	-0.36	-0.14
AGAP006019		maltase [Source:VB Community Annotation]	1.25	0.16	0.14	-0.34	-0.05	5.2	3.32	2.81	2.04	1.56	1.58	1.42	1.44	0.9	0.92	0.89	0.46	1.07	-0.73	0.19	-1.12	-4.03	-1.98	-0.96	-0.72	0.44	0.76	-0.15
AGAP008783		arginase [Source:VB Community Annotation]	-0.94	-0.52	1.26	-1.49	-2.35	-1.68	0.56	0.95	0.71	2.21	-0.72	1.82	-1.13	2.72	-0.21	-2.54	-2.86	-0.65	-0.85	-0.28	-1.43	0.87	1.88	1.06	0.64	0.59	0.96	0.83
AGAP007955			-0.16	-0.01	-0.19	0.16	-0.09	0.12	-0.07	-0.45	-0.28	-0.02	-0.34	-0.12	-0.46	-0.05	-0.37	-0.18	-0.27	0.04	-0.87	-0.6	-0.89	-0.57	0.06	0.33	0.61	0.31	0.45	0.56
AGAP003174			0.15	-0.17	-0.69	0.22	0.19	0.24	0.68	0.46	0.27	-0.24	0.44	-0.17	0.5	-0.29	0.4	-0.02	0.02	-0.16	-0.17	-0.37	0.04	0.53	0.48	-0.72	-0.46	-0.45	-0.5	-0.39
AGAP007648	pk	Protein prickle [Source:UniProtKB/Swiss-Prot;Acc:Q7QJT4]	0.28	0.19	-0.38	0.25	-0.1	0.25	-0.17	-0.02	-0.17	-0.38	0.67	-0.14	0.9	0.0	1.06	0.74	0.53	-0.56	-0.26	-0.03	0.03	-0.08	0.51	-0.34	0.35	-0.24	0.15	-0.01
AGAP004503		TATA box-binding protein-associated factor RNA polymerase I subunit B [Source:VB Community Annotation]	-0.24	-0.04	0.64	-0.16	-0.28	0.62	0.47	0.22	0.5	0.12	-0.98	-0.27	-1.39	-0.02	-1.12	-0.17	-0.58	0.48	-0.42	-0.12	-0.42	-0.43	-0.58	0.63	0.75	0.41	0.55	0.51
AGAP004903			-0.14	-0.4	0.16	0.17	0.1	0.31	0.24	0.95	0.89	-0.02	0.55	-0.12	0.43	-0.09	0.47	0.06	-0.42	0.97	-0.01	-0.05	0.04	0.53	-0.06	0.51	0.7	0.33	0.4	0.38
AGAP001336			-0.21	0.01	0.52	-0.06	0.52	-0.19	0.49	0.95	0.88	-0.1	-1.94	0.04	-1.82	-0.21	-2.05	-0.2	-0.88	-0.2	1.07	0.57	1.01	-1.74	0.03	0.32	0.81	0.89	0.49	0.75
AGAP006399	Gr14	gustatory receptor 14 [Source:VB Community Annotation]	1.83	0.47	0.76	0.31	0.54	-0.46	-0.84	0.18	0.47	-1.73	0.72	-0.56	1.87	-1.23	1.24	-0.35	2.71	-1.69	-2.0	-1.44	-3.11	-0.59	-0.82	-1.43	-1.25	0.28	0.19	0.05
AGAP002098		Sjogren's syndrome nuclear autoantigen 1 [Source:VB Community Annotation]	0.27	0.49	0.38	-0.32	0.16	0.23	-0.21	0.04	0.35	-0.07	-1.02	0.07	-0.91	-0.05	-1.01	0.29	0.01	0.63	-0.73	-0.41	-0.57	0.31	-0.52	0.97	0.82	0.91	0.68	0.85
AGAP004296		signal peptidase complex subunit 1 [Source:VB Community Annotation]	-0.13	0.21	0.18	0.26	0.18	-0.1	-0.19	0.3	0.47	0.46	-0.46	0.57	-0.36	0.72	-0.2	0.06	-0.41	0.69	-0.14	-0.33	-0.06	-0.18	-0.31	0.76	1.02	0.65	0.78	0.52
AGAP001424		heat shock protein 90kDa beta [Source:VB Community Annotation]	-0.11	0.23	0.22	-0.5	0.11	-0.07	0.12	0.03	0.32	-0.19	-0.85	-0.28	-0.94	-0.11	-0.77	-0.99	-0.18	0.11	0.91	0.23	-0.06	0.05	0.31	-0.66	-0.07	-0.58	-0.73	-0.64
AGAP012006		protein phosphatase 1 regulatory subunit 16A [Source:VB Community Annotation]	0.11	-0.26	-0.3	-0.2	-0.05	0.0	0.02	-0.49	-0.5	-0.06	0.18	-0.02	0.21	-0.04	0.2	-0.15	0.34	-0.16	0.26	0.45	0.38	0.48	0.39	0.24	-0.16	-0.13	-0.19	0.12
AGAP002436		Kip1 ubiquitination-promoting complex protein 2 [Source:VB Community Annotation]	0.17	-0.23	-0.29	-0.06	0.06	0.5	0.15	-0.01	-0.2	-0.14	-0.26	-0.2	-0.33	-0.11	-0.24	0.22	-0.1	-0.27	-0.28	-0.12	-0.3	0.21	0.08	0.39	0.62	0.34	0.37	0.5
AGAP009933		dachs [Source:VB Community Annotation]	0.48	0.37	-0.8	-0.14	-1.15	0.06	-0.31	-0.05	-0.34	-1.2	0.45	-1.18	0.45	-0.94	0.71	-0.18	-0.44	-1.42	0.48	-0.04	0.46	-0.39	0.56	-0.31	-0.51	-0.01	-0.1	0.15
AGAP008492			-0.19	-0.1	0.2	-0.18	0.29	-0.29	-0.63	-0.72	0.03	-0.36	-0.04	-0.65	-0.34	-0.59	-0.28	0.02	0.05	0.24	0.33	-0.05	-0.1	-0.49	-0.56	0.09	0.03	-0.17	0.11	-0.18
AGAP005914	SP11644		0.17	0.85	-0.09	0.38	0.02	0.48	0.32	0.45	0.53	-0.16	-1.49	0.09	-1.26	0.97	-0.36	0.17	-0.7	0.66	0.73	0.56	0.66	-0.45	-0.26	-0.11	0.13	0.14	0.07	0.06
AGAP010489	OBP4	odorant-binding protein antennal 4 [Source:VB Community Annotation]	0.26	0.54	-0.57	1.2	0.08	-0.34	-0.81	-0.14	-0.06	0.06	0.16	1.02	1.11	1.2	1.31	-0.44	-0.57	-1.7	-0.84	-0.5	-0.43	-0.89	1.27	-1.11	-0.75	-1.63	-1.78	-1.77
AGAP002084		glycerol-3-phosphate O-acyltransferase 3/4 [Source:VB Community Annotation]	-0.12	-0.47	-0.2	-0.28	-0.09	0.36	0.72	0.87	0.63	-0.58	-0.44	-0.48	-0.36	-0.74	-0.6	-0.83	-0.14	0.78	0.59	0.31	0.39	-0.15	0.86	0.17	0.2	0.25	0.28	0.37
AGAP005700	Med14	Mediator of RNA polymerase II transcription subunit 14 [Source:UniProtKB/Swiss-Prot;Acc:Q7Q6S8]	0.11	-0.01	-0.02	-0.14	-0.25	-0.19	-0.1	-0.16	0.53	-0.08	-0.4	-0.04	-0.38	-0.05	-0.37	-0.21	-0.26	0.21	-0.05	-0.14	-0.05	-0.66	-0.14	-0.37	0.05	-0.27	-0.31	-0.32
AGAP002674		dolichyl-phosphate-mannose-protein mannosyltransferase [Source:VB Community Annotation]	-0.58	-0.49	-0.57	-0.12	-0.76	-0.19	0.68	0.82	0.96	-0.74	0.22	-0.59	0.36	-0.33	0.64	-0.4	-0.5	-0.9	1.03	0.97	1.14	-0.2	1.23	0.37	0.1	0.91	0.95	0.43
AGAP012559			1.76	1.57	0.35	-1.28	0.21	-0.6	1.05	-0.51	-0.79	1.3	-2.06	0.22	-3.16	-0.31	-3.65	0.59	0.46	-0.39	-0.64	-0.64	-0.54	0.0	-0.15	-0.35	0.29	0.62	0.03	0.05
AGAP003378	CPR116	cuticular protein RR-2 family 116 [Source:VB Community Annotation]	0.94	-0.27	-0.04	0.15	1.01	0.47	0.02	0.22	1.91	0.62	-0.58	-0.74	-1.92	-0.53	-1.71	0.76	0.15	0.75	-0.41	-1.14	-1.2	-0.69	-0.44	-0.13	-0.02	0.2	0.5	0.15
AGAP007712		A-kinase anchor protein 13 [Source:VB Community Annotation]	0.1	0.03	0.08	0.22	0.07	0.39	0.53	0.07	-0.16	-0.17	-0.65	-0.34	-0.83	-0.44	-0.92	0.23	-0.16	0.04	-0.55	-0.47	-0.49	-0.22	-0.24	0.22	0.07	0.08	0.14	0.21
AGAP002072			1.28	-1.96	-0.52	-2.04	-2.98	-1.59	-0.3	0.18	0.22	3.08	-0.86	3.11	-0.82	2.91	-0.96	-3.33	-1.01	-1.74	0.39	0.09	0.56	0.0	2.54	0.34	1.12	0.31	1.01	0.65
AGAP005128		elongation factor Tu [Source:VB Community Annotation]	0.19	0.18	0.2	0.05	0.06	0.22	0.03	0.07	0.31	0.0	0.1	-0.25	-0.18	-0.11	-0.02	0.17	0.13	0.42	0.05	-0.1	0.16	-0.08	-0.05	0.1	0.25	0.1	0.15	0.14
AGAP001451			0.12	-0.15	-0.18	-0.17	0.02	0.19	0.05	-0.04	-0.29	-0.56	-0.01	-0.46	0.08	-0.79	-0.23	-0.27	0.25	0.06	-0.49	-0.39	-0.51	0.11	0.55	-0.16	-0.19	-0.25	-0.35	-0.02
AGAP009971		elongation factor 4 1 [Source:VB Community Annotation]	0.17	0.19	0.12	-0.11	-0.16	0.45	0.4	0.56	0.74	0.05	0.36	0.05	0.35	0.18	0.49	0.14	-0.05	0.11	0.41	0.56	0.56	0.1	0.24	0.43	0.0	0.71	0.44	0.76
AGAP003698		zinc finger protein 593 homolog [Source:VB Community Annotation]	-0.77	0.18	0.16	-0.52	-1.36	0.25	0.95	0.11	1.25	0.45	-0.11	0.26	-0.31	0.25	-0.3	-1.01	-1.28	-0.4	-0.51	-0.29	-0.71	0.15	-0.84	0.6	0.4	0.41	0.41	0.52
AGAP001773	GPRALS2	putative allatostatin receptor 2 [Source:VB Community Annotation]	0.31	0.34	-0.79	-0.55	-0.48	0.21	-0.01	-0.45	-0.87	-0.53	0.02	-0.35	0.18	-0.33	0.22	0.12	0.0	-0.45	0.24	-0.54	-0.1	-0.94	0.89	0.05	-0.07	0.33	0.34	0.47
AGAP002174			0.25	0.07	0.42	-0.23	0.12	0.25	0.27	0.24	0.44	-0.1	-0.49	-0.06	-0.46	0.23	-0.16	-0.13	-0.25	0.48	-0.16	-0.06	-0.36	-0.37	-0.7	0.73	0.82	0.54	0.83	0.89
AGAP004992		microsomal prostaglandin-E synthase 2 [Source:VB Community Annotation]	-0.16	-0.38	0.25	0.44	0.35	-0.17	0.03	0.24	0.47	0.05	0.3	0.09	0.32	0.17	0.42	0.25	-0.11	0.77	0.0	0.0	0.19	0.78	-0.09	-0.04	-0.09	0.08	-0.02	0.11
AGAP006600			0.24	0.23	0.33	0.22	0.48	-0.17	-0.28	0.09	0.18	0.36	0.08	0.4	0.11	0.22	-0.06	0.45	0.07	-0.16	-0.63	-0.28	-0.2	0.48	-0.41	0.36	-0.44	-0.34	-0.28	-0.19
AGAP010380			-0.16	0.08	0.38	0.07	0.11	-0.16	-0.04	-0.16	0.03	-0.43	-0.18	-0.39	-0.15	-0.22	0.04	0.08	0.1	0.19	0.09	0.1	0.21	0.02	-0.01	0.76	0.54	0.54	0.5	0.51
AGAP005852	mRpL42	39S ribosomal protein L42, mitochondrial [Source:VB Community Annotation]	-0.14	-0.06	0.12	-0.4	-0.13	0.08	0.0	0.23	0.35	0.25	0.12	0.42	0.28	0.35	0.23	0.02	-0.11	0.08	-0.1	-0.38	0.18	0.42	0.2	0.0	0.34	-0.28	0.07	-0.2
AGAP003217	mRpS6	28S ribosomal protein S6, mitochondrial [Source:VB Community Annotation]	-0.17	0.12	0.28	-0.01	-0.09	-0.11	-0.47	-0.05	-0.1	0.33	0.19	0.34	0.19	0.24	0.1	-0.13	-0.28	-0.11	0.07	-0.08	0.39	0.19	-0.31	0.05	0.03	0.15	0.04	0.03
AGAP007988		glycerate kinase [Source:VB Community Annotation]	-0.27	-0.31	-0.1	-0.18	0.15	0.34	0.15	-0.14	0.11	-1.34	-0.37	-1.1	-0.16	-1.23	-0.26	-0.11	0.34	0.03	-0.19	-0.09	-0.13	0.18	0.49	0.3	0.3	0.52	0.42	0.46
AGAP005206			0.16	-0.14	-0.02	-0.04	-0.19	-0.04	-0.22	0.02	0.09	0.01	-0.46	-0.17	-0.65	-0.02	-0.49	-0.16	-0.35	0.33	-0.15	-0.07	-0.07	-0.7	-0.45	0.35	0.22	0.45	0.4	0.43
AGAP000559			0.22	0.02	0.17	0.39	0.41	0.01	0.25	-0.55	-0.01	-0.38	-1.27	-0.91	-1.81	-0.59	-1.48	0.64	-0.14	0.67	-0.14	0.02	-0.38	-0.84	-0.08	0.15	-0.36	0.14	0.14	0.3
AGAP005070		zinc finger CCHC domain-containing protein 8 [Source:VB Community Annotation]	-0.22	-0.03	0.29	-0.05	-0.14	-0.07	0.0	-0.05	0.12	-0.42	-0.32	-0.46	-0.38	-0.44	-0.34	-0.38	-0.22	0.31	0.35	0.54	0.48	-0.57	-0.24	0.3	0.28	0.27	0.5	0.42
AGAP004456	GNBPB5	3-glucan binding protein [Source:VB Community Annotation]	-0.24	0.11	-1.28	1.23	0.39	-0.66	-0.28	0.91	0.88	-0.67	3.14	-1.53	2.25	-0.96	2.84	0.49	0.33	1.99	1.02	1.15	1.05	0.5	1.73	-0.61	-0.84	-1.17	-0.82	-1.01
AGAP004575			-0.45	-0.49	-0.28	0.71	-0.24	-1.4	-0.32	-0.22	-0.22	-0.91	0.75	-0.96	0.7	-0.39	1.28	1.0	-0.6	-0.29	-0.25	-0.63	-0.56	-0.48	0.78	0.49	0.2	0.14	0.41	0.2
AGAP000928		peroxin-10 [Source:VB Community Annotation]	-0.18	0.06	0.34	-0.19	-0.11	-0.28	-0.15	-0.14	0.06	-0.12	-0.17	-0.05	-0.11	-0.26	-0.3	0.0	-0.02	0.14	-0.04	-0.07	0.07	-0.21	-0.4	0.25	-0.27	0.01	0.07	0.07
AGAP002691		arrestin domain containing 2 [Source:VB Community Annotation]	-0.29	-0.58	-0.81	0.39	0.03	-0.35	-0.3	-0.14	-0.22	0.46	0.78	0.69	1.0	0.64	0.96	0.3	0.69	-0.64	0.85	0.52	0.98	1.57	0.46	-0.53	-0.46	-0.45	-0.42	-0.62
AGAP008425		peptidyl-tRNA hydrolase ICT1 [Source:VB Community Annotation]	0.19	0.33	0.03	0.06	0.24	0.26	0.12	0.35	0.55	0.11	0.3	0.33	0.51	0.34	0.54	0.5	0.58	-0.05	0.1	-0.02	0.36	0.2	-0.01	0.36	0.27	-0.06	0.11	0.07
AGAP010493		transcription initiation factor TFIID subunit 7 [Source:VB Community Annotation]	0.11	0.07	0.21	-0.04	-0.04	0.09	0.13	0.07	0.19	-0.03	-0.7	0.03	-0.66	0.11	-0.56	-0.07	-0.42	-0.14	0.04	0.08	-0.03	0.05	-0.5	0.19	0.35	-0.07	0.18	0.05
AGAP008141		argininosuccinate lyase [Source:VB Community Annotation]	-0.55	-0.41	1.49	-1.3	-1.7	0.17	2.54	3.78	2.67	2.24	-0.85	2.31	-0.81	2.52	-0.57	-2.1	-1.33	1.15	-0.07	0.11	-0.53	1.23	0.91	1.21	0.92	0.93	1.22	0.67
AGAP006487		trypsin-alpha [Source:VB Community Annotation]	3.49	1.12	0.16	-0.55	-0.29	0.37	-0.42	0.46	0.66	0.65	0.67	0.68	0.69	2.1	2.12	-0.7	2.03	-2.04	0.95	-0.76	-3.12	-2.27	-6.34	0.45	0.2	1.82	2.22	0.62
AGAP009983		Bhlh factor math6 [Source:VB Community Annotation]	0.18	0.0	-0.22	0.48	0.27	1.01	0.94	1.34	1.45	-0.8	1.1	-0.78	1.11	-0.85	1.05	-0.26	1.08	0.71	0.02	-0.09	0.08	0.45	0.87	0.07	-0.22	-0.59	-0.37	-0.36
AGAP013270			-1.65	0.43	0.65	1.66	1.24	3.5	2.39	1.37	3.0	2.63	0.73	3.16	1.24	2.53	0.62	-0.12	1.13	-0.98	0.19	-0.78	0.7	-0.57	-0.33	-1.64	-1.56	-1.12	-1.26	-1.56
AGAP004738		IK cytokine [Source:VB Community Annotation]	-0.16	0.09	0.28	0.17	0.21	-0.01	0.05	0.13	0.07	0.09	-0.23	-0.06	-0.39	0.02	-0.3	-0.03	-0.13	0.21	-0.3	0.12	-0.12	0.44	-0.02	0.22	0.24	0.21	0.32	0.25
AGAP007481		chromatin accessibility complex protein 1 [Source:VB Community Annotation]	-0.22	0.07	0.43	0.1	-0.07	-0.17	0.19	0.04	-0.04	0.39	-1.4	0.19	-1.61	0.26	-1.53	-0.28	-0.6	-0.67	-0.02	0.24	-0.22	-0.44	-0.29	0.71	0.32	0.29	0.43	0.41
AGAP008891		serine protease snake [Source:VB Community Annotation]	-2.44	-0.44	-0.95	-0.95	-0.48		0.42	3.22	2.16	2.3	1.17	3.18	2.04	1.14	0.01	1.34	-2.22	-2.38	4.62	2.92	4.28	0.26	3.4	0.0	0.59	0.18	0.33	0.16
AGAP009191	GSTE6	glutathione S-transferase epsilon class 6 [Source:VB Community Annotation]	-0.32	-1.17	-0.4	0.07	-0.05	0.34	0.63	0.64	0.69	-0.02	0.32	0.18	0.51	0.02	0.37	0.53	0.02	0.4	1.13	1.08	1.27	0.04	1.43	1.19	1.48	1.08	1.47	1.68
AGAP010039	NADH_dehyd		0.11	0.09	0.53	0.26	0.37	-0.3	0.21	0.44	0.51	0.21	1.06	0.11	0.95	0.17	1.03	0.01	0.46	0.6	0.21	0.35	0.45	1.64	0.31	-0.14	-0.32	-0.86	-0.33	-0.88
AGAP010188		stress-induced-phosphoprotein 1 [Source:VB Community Annotation]	0.11	-0.01	0.5	0.01	-0.5	-0.26	0.05	1.31	0.86	0.05	-0.18	-0.1	-0.35	0.32	0.09	-0.84	-0.32	0.13	0.12	0.17	-0.46	-0.08	-0.44	-0.18	-0.2	-0.34	-0.3	-0.35
AGAP000850			0.15	-0.11	0.03	-0.28	0.03	0.25	-0.15	0.43	0.17	0.3	0.22	0.35	0.27	0.33	0.25	0.23	0.01	0.23	-0.17	0.23	-0.13	-0.15	-0.2	0.38	0.42	0.25	0.33	0.26
AGAP011065			-0.31	-0.05	-0.03	-0.31	-0.99	-0.53	-0.27	-0.45	-0.49	0.75	-1.45	-0.46	-2.68	0.11	-2.08	-0.66	-1.4	0.98	-1.41	-0.43	-1.14	-1.05	-1.18	0.46	1.09	0.96	1.02	0.83
AGAP001416		EF-hand calcium-binding domain-containing protein 1 [Source:VB Community Annotation]	2.22	2.18	-0.28	0.42	-3.97	-5.36	-4.5	-2.4	-1.65			0.68	0.69			-0.22	-1.66	-1.83	-2.66	-1.88	0.41	-0.32	-0.49	-1.12	-0.81	-0.01	-0.16	-0.2
AGAP011164			-0.15	0.06	0.26	-0.21	-0.31	-0.2	-0.09	-0.52	-0.4	0.02	-0.64	-0.27	-0.95	-0.21	-0.87	-0.18	-0.36	-0.22	0.38	0.41	0.0	-0.71	-0.18	0.26	0.66	0.24	0.31	0.24
AGAP010180		centrosomal protein CEP97 [Source:VB Community Annotation]	-0.15	0.11	0.5	0.0	0.02	-0.1	0.47	-0.3	-0.16	-0.38	-1.36	-0.36	-1.36	-0.16	-1.13	-0.09	-0.67	0.18	-0.19	0.1	0.17	-0.46	-0.27	0.59	0.66	0.7	0.72	0.94
AGAP004207	Exo8	exocyst complex component 8 [Source:VB Community Annotation]	-0.17	-0.05	-0.03	0.16	0.01	-0.07	-0.17	-0.09	0.11	0.05	0.3	0.1	0.34	0.11	0.36	-0.06	-0.06	-0.01	0.03	0.29	0.12	0.15	-0.11	0.47	0.14	0.11	0.17	0.14
AGAP010074		peroxin-13 [Source:VB Community Annotation]	-0.12	-0.05	0.22	0.23	0.16	0.15	0.22	0.27	0.28	0.33	0.22	0.33	0.21	0.35	0.24	-0.11	-0.09	0.28	-0.34	-0.15	-0.25	0.16	-0.39	0.29	0.43	0.21	0.18	0.24
AGAP005636		aldehyde oxidase [Source:VB Community Annotation]	-1.43	-3.13	-0.84	1.03	-0.15	-0.46	-0.03	-1.52	-1.75	-1.25	0.67	-1.22	0.69	-1.05	0.87	0.72	-2.96	0.73	0.18	0.5	0.28	0.48	5.18	-0.33	0.47	0.78	0.94	0.48
AGAP003504			-0.12	-0.22	0.17	0.2	0.38	0.25	0.43	0.29	0.18	-0.38	-0.05	-0.55	-0.24	-0.55	-0.22	-0.23	-0.12	0.41	0.03	0.26	0.07	0.37	-0.04	0.1	0.04	-0.02	-0.02	0.12
AGAP011944			-0.13	-0.06	-0.11	-0.04	-0.16	0.21	0.17	-0.07	-0.07	-0.08	0.06	0.11	0.23	-0.03	0.1	-0.15	-0.11	0.06	-0.29	0.1	-0.06	-0.19	-0.08	0.17	0.13	0.15	0.13	0.2
AGAP007472			-0.17	-0.23	-0.11	-0.78	-0.23	-0.01	0.04	-0.18	-0.21	-0.34	-0.05	-0.19	0.08	-0.49	-0.21	-0.37	0.17	0.09	-0.02	-0.09	0.4	-0.44	0.59	0.17	-0.09	0.24	-0.05	0.31
AGAP007501			-0.17	0.04	-0.48	-0.69	-0.42	-0.24	-0.33	0.2	-0.35	0.78	1.43	0.93	1.57	0.76	1.41	0.37	0.09	-1.61	0.45	0.73	0.58	0.82	1.49	-0.68	-0.84	-0.97	-1.02	-1.2
AGAP013251			0.97	0.79	-0.86	0.14	-0.32	0.16	0.09	-1.29	-1.09	1.41	3.23	1.59	3.39	1.49	3.3	0.04	1.53	-0.07	0.56	-0.05	-0.49	-1.84	-0.97	-1.26	-0.05	-0.6	-0.11	-0.76
AGAP001737		adenylyltransferase and sulfurtransferase MOCS3 Molybdopterin-synthase adenylyltransferase Molybdopterin-synthase sulfurtransferase [Source:VB Community Annotation]	-0.11	-0.19	-0.04	0.04	0.39	0.19	-0.46	-0.39	-0.51	0.21	-0.51	0.12	-0.61	0.13	-0.58	0.04	0.27	0.2	-0.26	-0.16	-0.25	0.48	-0.41	-0.22	-0.13	-0.67	-0.61	-0.71
AGAP010575		RBBP5 protein [Source:VB Community Annotation]	0.16	-0.23	-0.08	-0.17	-0.05	0.17	-0.04	0.14	0.13	0.13	-0.28	0.08	-0.35	0.15	-0.26	0.43	0.16	0.51	-0.58	-0.31	-0.53	0.08	-0.22	-0.06	0.19	-0.18	-0.12	-0.01
AGAP009436		Valacyclovir hydrolase [Source:VB Community Annotation]	0.2	-0.12	-0.35	0.68	0.77	-0.28	-0.07	0.01	0.04	0.36	0.93	0.3	0.85	0.6	1.17	0.2	-0.13	-0.87	-0.49	0.05	-0.25	0.23	-0.05	-0.4	0.15	0.1	0.19	-0.16
AGAP004366		1-pyrroline-5-carboxylate dehydrogenase [Source:VB Community Annotation]	0.13	0.62	0.1	0.0	-0.21	-0.8	0.36	0.53	0.27	0.73	1.67	0.59	1.51	0.52	1.46	0.28	-0.07	-0.69	1.12	0.98	1.54	0.87	0.11	-0.7	-0.34	-0.61	-0.89	-1.02
AGAP009917			-0.16	1.11	-0.29	0.29	1.15	-0.3	0.09	-0.65	-0.75	2.4	0.75	2.4	0.74	2.06	0.41	1.28	0.59	-0.92	-0.18	-0.02	0.43	-0.38	1.16	0.07	-0.2	0.27	-0.37	-0.54
AGAP007084			-1.25	-2.95	0.35	-0.15	0.95	-1.55	-0.5	-1.62	-3.76	0.15	0.86	0.72	1.4	0.1	0.79	3.23	-2.44	0.8	-0.55	-2.07	-1.22	2.41	-1.01	2.36	2.32	3.27	3.74	3.05
AGAP004854		histone demethylase JARID1 [Source:VB Community Annotation]	-0.1	-0.06	0.12	-0.05	-0.05	-0.04	0.17	-0.07	0.11	-0.81	-0.05	-0.85	-0.1	-0.66	0.1	-0.33	-0.15	0.11	0.86	0.36	0.31	-0.3	-0.05	-0.08	0.08	0.05	-0.05	0.13
AGAP003195		fatty acyl-CoA elongase [Source:VB Community Annotation]	-0.39	0.33	0.17	1.02	-0.54	1.33	1.6	1.52	1.36	0.4	1.07	0.82	1.48	0.66	1.33	1.85	2.01	0.65	-0.23	0.06	0.25	1.7	1.81	0.41	0.03	0.23	0.27	0.47
AGAP007177	SPZ5	spaetzle-like cytokine 5 [Source:VB Community Annotation]	1.04	-3.53	-1.61	0.9	-0.08	0.97	0.43	0.65	-0.14	-0.57	-1.48	1.92	0.98	0.27	-0.64	0.56	-0.54	-0.52	2.49	2.49		0.0	-0.47	2.69	2.83	3.26	3.84	2.76
AGAP005227			-0.12	0.06	-0.18	0.04	-0.09	-0.25	-0.07	-0.09	-0.15	-0.24	0.11	-0.39	-0.05	-0.12	0.23	-0.23	0.02	0.06	0.03	-0.02	0.14	0.31	0.43	-0.24	-0.07	-0.2	-0.15	-0.18
AGAP011819		S2P endopeptidase [Source:VB Community Annotation]	0.15	-0.1	0.06	-0.01	-0.32	-0.3	0.04	-0.09	0.01	-0.35	-1.01	-0.17	-0.84	-0.19	-0.84	-0.43	-0.59	0.03	0.25	0.18	0.11	0.05	-0.23	0.7	1.06	0.85	0.79	0.97
AGAP006872		NIMA (never in mitosis gene a)-related kinase [Source:VB Community Annotation]	-1.5	-0.76	-0.79	-0.97	-0.8	0.13	0.48	1.11	1.24	0.0	1.03	0.52	1.53	1.15	2.18	0.1	0.79	-1.73	-0.68	-0.41	-1.27	-1.0	2.44	-1.13	-0.59	0.1	0.51	-0.34
AGAP005142		mRNA-capping enzyme [Source:UniProtKB/TrEMBL;Acc:Q7Q9N3]	0.12	0.04	0.06	-0.05	-0.33	-0.18	-0.08	-0.17	0.0	-0.16	0.49	-0.19	0.45	-0.42	0.24	-0.01	0.04	0.06	0.06	0.03	0.05	0.16	0.38	0.02	0.1	-0.15	0.1	-0.05
AGAP000331		low density lipoprotein-related protein 2] [Source:VB Community Annotation]	-0.14	-0.25	-0.7	0.35	0.07	0.26	0.94	0.95	1.15	-0.89	0.0	-0.62	0.27	-0.66	0.24	-0.05	-0.21	-0.8	-0.3	-0.22	-0.27	0.02	1.04	-0.57	-0.26	-0.28	-0.56	-0.37
AGAP005279		Rho-type gtpase activating protein [Source:VB Community Annotation]	-0.11	-0.13	0.05	-0.29	-0.02	-0.27	-0.25	-0.29	-0.44	-0.79	-0.4	-0.56	-0.19	-0.78	-0.39	-0.42	0.41	-0.09	0.37	-0.22	0.05	0.23	0.35	-0.56	-0.24	-0.49	-0.61	-0.44
AGAP004629			-0.14	0.12	-0.18	0.09	0.44	0.13	-0.37	-0.05	-0.07	0.39	0.45	0.31	0.36	0.26	0.32	0.21	0.63	0.03	0.34	0.07	0.15	-0.21	-0.36	0.38	0.3	0.21	0.18	0.02
AGAP011985		twist [Source:VB Community Annotation]	1.37	0.04	-0.57	0.44	0.23	3.43	2.61	3.02	2.81	-0.55	1.74	0.36	2.62	-0.3	1.97	0.24	0.05	-0.5	-0.49	-0.98	-0.55	-0.37	-0.1	-0.45	-0.35	0.2	0.42	-0.21
AGAP010643		PDS5, regulator of cohesion maintenance homolog A [Source:VB Community Annotation]	-0.12	-0.17	0.02	0.03	-0.13	-0.09	-0.09	-0.12	-0.21	-0.16	-0.45	-0.16	-0.46	-0.08	-0.37	-0.15	-0.14	0.15	0.04	0.01	-0.11	-0.5	0.01	0.13	0.43	0.13	0.1	0.26
